sample,RaymondF_2016.metaphlan_bugs_list.stool:P10E0,RaymondF_2016.metaphlan_bugs_list.stool:P11E0,RaymondF_2016.metaphlan_bugs_list.stool:P12E0,RaymondF_2016.metaphlan_bugs_list.stool:P13E0,RaymondF_2016.metaphlan_bugs_list.stool:P14E0,RaymondF_2016.metaphlan_bugs_list.stool:P15E0,RaymondF_2016.metaphlan_bugs_list.stool:P17E0,RaymondF_2016.metaphlan_bugs_list.stool:P18E0,RaymondF_2016.metaphlan_bugs_list.stool:P19E0,RaymondF_2016.metaphlan_bugs_list.stool:P1E0,RaymondF_2016.metaphlan_bugs_list.stool:P20E0,RaymondF_2016.metaphlan_bugs_list.stool:P21E0,RaymondF_2016.metaphlan_bugs_list.stool:P22E0,RaymondF_2016.metaphlan_bugs_list.stool:P23C0,RaymondF_2016.metaphlan_bugs_list.stool:P23C7,RaymondF_2016.metaphlan_bugs_list.stool:P23C90,RaymondF_2016.metaphlan_bugs_list.stool:P25C0,RaymondF_2016.metaphlan_bugs_list.stool:P25C7,RaymondF_2016.metaphlan_bugs_list.stool:P25C90,RaymondF_2016.metaphlan_bugs_list.stool:P2E0,RaymondF_2016.metaphlan_bugs_list.stool:P38C0,RaymondF_2016.metaphlan_bugs_list.stool:P38C7,RaymondF_2016.metaphlan_bugs_list.stool:P38C90,RaymondF_2016.metaphlan_bugs_list.stool:P3E0,RaymondF_2016.metaphlan_bugs_list.stool:P4E0,RaymondF_2016.metaphlan_bugs_list.stool:P5E0,RaymondF_2016.metaphlan_bugs_list.stool:P6C0,RaymondF_2016.metaphlan_bugs_list.stool:P6C7,RaymondF_2016.metaphlan_bugs_list.stool:P6C90,RaymondF_2016.metaphlan_bugs_list.stool:P7C0,RaymondF_2016.metaphlan_bugs_list.stool:P7C7,RaymondF_2016.metaphlan_bugs_list.stool:P7C90,RaymondF_2016.metaphlan_bugs_list.stool:P8C0,RaymondF_2016.metaphlan_bugs_list.stool:P8C7,RaymondF_2016.metaphlan_bugs_list.stool:P8C90,RaymondF_2016.metaphlan_bugs_list.stool:P9E0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,1.91395,0.02034,0.07884,0.2412,0.07822,0.01328,0.45554,0.02426,0.00514,0.2202,0.37934,1.34842,0.13859,0.47631,0.12772,0.93999,0.00505,0.02929,0,0.01024,0,0.00576,0.00236,0.0245,0.02901,0.12128,0.03391,0.19531,0.09855,0.06887,0.00885,0.02399,0.03417,0.02634,0.09691,0.7789
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,1.50765,1.23811,0,0.42683,2.81062,0.40655,0.64303,0.71777,0.78547,2.62762,1.25361,0.94899,0.61028,0.5861,0.61357,0.50397,0.03619,0.02473,0.0429,0.57626,0.46191,0.46799,0.218,0,0.08919,0.35139,2.2023,2.34792,1.87269,0.39855,0.93743,0.57597,0,0.00033,0,0.05867
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname,1.42967,1.06202,0,0.71812,2.96248,0.44655,0,3.05982,2.61354,2.40143,0,0,0.53757,3.36616,0.9991,6.24934,0.56422,0.3886,0.42053,3.02063,2.4631,3.04297,3.02555,0,0,0.21621,0,0,0.00046,1.39917,1.38005,0.77578,0,0,0,0.76905
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,0.56694,0.29391,0.11433,0.03399,0.62069,0.05413,0.53809,0.66141,0.40944,5.03903,0.20329,0.71148,0.06385,0.73335,1.23085,0.95055,0.07123,0.04916,0.01712,0.33679,0.13378,0.18519,0.18877,0.44357,0.05928,0.82628,0.82861,1.57455,0.39393,0.27065,0.21805,0.33353,0.151,0.17477,0.12222,0.08188
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,0.44694,0.62341,1.33529,7.29666,0.6919,4.72449,0.04942,16.57706,0.00319,0,9.13819,8.53415,3.87778,4.53646,1.18939,1.28911,0.19698,2.54786,0.22744,0.49992,0.01502,0.01311,0.07081,0.28218,18.55559,14.80249,0.02439,0.03151,0.07362,0.03256,0.16592,0.62955,3.31012,5.75459,5.70282,0.26765
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.34004,0.07657,1.48818,0.02597,0.2197,0.05019,0.06553,0.55431,0.22137,1.7002,0.57847,0.39629,0.11902,0.24457,0.71635,0.27676,0.03498,0.13296,0.11162,0.35182,0.10981,0.12946,0.04233,0.0078,0.01631,0.42417,0.21945,0.23125,0.06966,0.09742,0.56924,0.02613,0.59733,2.51253,0.9665,0.07748
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname,0.19821,0.05409,0.188,0.03057,0.02146,0.00632,0.0209,0.10689,0.02875,0.21236,0.39084,0.13999,0.10749,0.15803,0.09038,0.11142,15.05951,5.60151,0.01435,0.03665,0.12647,0.18047,0.06722,0.00384,0.01787,0.11999,0.11115,0.05729,0.04003,0.00538,0.00342,0.00575,0.012,0.03023,0.00562,0.11058
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0.16343,0,0,0.99417,0.25843,0,0,0,2.00447,0.06943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12613,0.27274,0.06486,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,0.15206,0.09979,0.58584,0.04635,0.36986,0.03434,0.10563,0.21166,0.34894,0.01376,0.13533,0.35601,0.09716,0.52682,0.74262,0.37525,0.07702,0.07128,0.09452,0.02506,0.24753,0.26664,0.19918,0.03818,0.02946,0.05546,0.02911,0.025,0.01828,0.03066,0.02305,0.03112,0.13482,0.23282,0.09817,0.02353
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.05068,0,0,0,0,0,0,0.00063,4.00E-04,0,0,0,0,0.00722,0.0077,0.00667,4.00E-04,0.00354,0,0,0,0,0,0,0.00297,0.00387,0,0,0.00021,0.00014,0,0,0,0,0,0
