sample,RaymondF_2016.metaphlan_bugs_list.stool:P10E0,RaymondF_2016.metaphlan_bugs_list.stool:P11E0,RaymondF_2016.metaphlan_bugs_list.stool:P12E0,RaymondF_2016.metaphlan_bugs_list.stool:P13E0,RaymondF_2016.metaphlan_bugs_list.stool:P14E0,RaymondF_2016.metaphlan_bugs_list.stool:P15E0,RaymondF_2016.metaphlan_bugs_list.stool:P17E0,RaymondF_2016.metaphlan_bugs_list.stool:P18E0,RaymondF_2016.metaphlan_bugs_list.stool:P19E0,RaymondF_2016.metaphlan_bugs_list.stool:P1E0,RaymondF_2016.metaphlan_bugs_list.stool:P20E0,RaymondF_2016.metaphlan_bugs_list.stool:P21E0,RaymondF_2016.metaphlan_bugs_list.stool:P22E0,RaymondF_2016.metaphlan_bugs_list.stool:P23C0,RaymondF_2016.metaphlan_bugs_list.stool:P23C7,RaymondF_2016.metaphlan_bugs_list.stool:P23C90,RaymondF_2016.metaphlan_bugs_list.stool:P25C0,RaymondF_2016.metaphlan_bugs_list.stool:P25C7,RaymondF_2016.metaphlan_bugs_list.stool:P25C90,RaymondF_2016.metaphlan_bugs_list.stool:P2E0,RaymondF_2016.metaphlan_bugs_list.stool:P38C0,RaymondF_2016.metaphlan_bugs_list.stool:P38C7,RaymondF_2016.metaphlan_bugs_list.stool:P38C90,RaymondF_2016.metaphlan_bugs_list.stool:P3E0,RaymondF_2016.metaphlan_bugs_list.stool:P4E0,RaymondF_2016.metaphlan_bugs_list.stool:P5E0,RaymondF_2016.metaphlan_bugs_list.stool:P6C0,RaymondF_2016.metaphlan_bugs_list.stool:P6C7,RaymondF_2016.metaphlan_bugs_list.stool:P6C90,RaymondF_2016.metaphlan_bugs_list.stool:P7C0,RaymondF_2016.metaphlan_bugs_list.stool:P7C7,RaymondF_2016.metaphlan_bugs_list.stool:P7C90,RaymondF_2016.metaphlan_bugs_list.stool:P8C0,RaymondF_2016.metaphlan_bugs_list.stool:P8C7,RaymondF_2016.metaphlan_bugs_list.stool:P8C90,RaymondF_2016.metaphlan_bugs_list.stool:P9E0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactococcus_phage_BM13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,0,0.03615,0,0.00275,0,2.52898,0.03563,0.00033,0.00241,0,0,0,0.00013,0,0,0.00039,1.95168,1.9053,0.74229,0.07352,0.00049,0,0.11924,0.03844,0.12631,0,0,0,0.00514,0.00901,0.12201,0.00439,0,0.00394,0,0.13409
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,0,0.008,0.00148,0.13433,0.00541,0.03665,0.02215,0.01933,0.11838,0,0.01787,0.00486,0.00307,0.04354,0.10385,0.01201,0.05396,0.16769,0.08632,0.05091,0.02166,0.02401,0.07171,0.03957,0.01352,0.00624,0.04087,0.22321,0.05764,0.0025,0,0.00616,0.00043,0.00018,0,0.07523
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,0,0.02391,0.00891,0.03588,0,0.06484,0.0137,0.01162,0.03973,0,0.01426,0.00882,0,0.06889,0.1987,0.06168,0.08034,0.3789,0.08277,0.00544,0.01851,0.0324,0.06172,0.05694,0.03373,0.0137,0.02082,0.03383,0.02199,0.00197,0.00513,0.0081,0,0,0,0.0511
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis,0,0,0,0.01176,0,0,0,0,0.00092,0,0.0032,0,0,0,0,0,0,0.00243,0.07391,0,0,0,0,0.00821,0.00357,0.00294,0.06496,0.00434,0.00432,0,0.06127,0.00057,0,0.00075,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_morbillorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas|s__Parvimonas_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis,0,0,0,0,0,0.00171,0,0.00125,0.00302,0,0,0,0,0,0.00312,0.00066,0.01154,0.01383,0.00361,9.00E-04,0,0,0,0,0,0,0,0.00148,0.00046,0,0,0,0,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_phage_Lc_Nu,0,0,0,0,0,0.04425,0,0,0,0,0,0,0,0.00564,0,0,0,0,0,0,0,0,0.00714,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_unclassified,0,0,0,0,0,0.00211,0,0,0.00307,0,0.00116,0,0,0,0,0,0,0,0,0,0,0.00154,0.00136,0,0,0,0.00186,0,0.00105,0.00217,0,0.00137,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii,0,0,0,0.00163,0.00326,0,0,0.02023,0.0177,0,0,0,0.00412,0.00174,0.004,0,0,0,0.00495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified,0,0,0,0,0,0,0,0,0.00159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_variabile,0,0,0,0,0,0.00231,0,0.01466,0,0,0,0,0,0,0,0,0,0,0,0.00132,0.00044,0.00011,0.00137,0,0,0,0,0,0,0,0,0.00096,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas|s__Parvimonas_micra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,0,15.04312,0,0,3.73795,8.2194,0,0,1.50927,0.3269,6.00E-05,0,0,0.73239,0.69576,4.90854,0,0,0,0,0,0,0,0,0,0,4.16028,1.29561,2.20319,0,0,0.00015,0.00074,0.00021,0.00028,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas|s__Butyricimonas_synergistica,0,0,0,0,0,0,0,0,0,0.00342,0,0,0,0,0,0,0,0,0,0.0712,0.00012,7.00E-05,0,0,0,0,0,0,0,0,0,0.00068,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis,0,0.02226,2.53981,0.01046,0.50717,0.00827,0.45277,0.00138,0.46859,0.35849,0,0,0,0.01781,0.00981,0.0137,0,0,0.00027,0.03907,0,0,0,0,0,0,0.00265,0.00105,0.00091,0.68983,0.81766,0.31251,0.00137,0.00049,0.00104,0.00264
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_6_1_45,0,0,0.02811,0.00032,0,0,0,0.00491,0.00473,0,0.00171,0,0,0.00409,0.00018,0.00139,0,0,0,0.00082,0,0,0.00018,0.00056,0,0,0.00184,0.00239,0.00062,0,0.00016,0,0.00184,0.00192,0.00028,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus|t__GCF_000160055,0,0,1.30767,7.1983,0,4.28764,0.0174,16.53333,0,0,7.88847,8.53235,3.85494,2.88426,0.61211,0.07874,0,0,0,0.40248,0,0,0,0,18.27218,14.78719,0,0,0,0,0,0.00073,3.30496,5.74795,5.67333,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis|t__Roseburia_intestinalis_unclassified,0,1.00299,0,0,0.42211,3.89412,0.04862,0.00477,0.2703,0.03251,0.059,0,1.21231,0.00084,0.00814,0.03322,1.4565,1.27228,0.00194,0.65186,0,0,0,0,0.10683,0,0.00617,0.00125,0,1.23022,0.49394,0.46628,0,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactococcus_phage_BM13|t__PRJNA213076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae|t__GCF_000371665,0,0,0,0,0,0,0,0,0,0,0.08393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae|t__Haemophilus_parainfluenzae_unclassified,0,0.03615,0,0.00275,0,2.52898,0.03563,0.00033,0.00241,0,0,0,0.00013,0,0,0.00039,1.95168,1.9053,0.74229,0.07352,0.00049,0,0.11924,0.03844,0.12631,0,0,0,0.00514,0.00901,0.12201,0.00439,0,0.00394,0,0.13409
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__Streptococcus_salivarius_unclassified,0,0.008,0.00148,0.13433,0.00541,0.03665,0.02215,0.01933,0.11838,0,0.01787,0.00486,0.00307,0.04354,0.10385,0.01201,0.05396,0.16769,0.08632,0.05091,0.02166,0.02401,0.07171,0.03957,0.01352,0.00624,0.04087,0.22321,0.05764,0.0025,0,0.00616,0.00043,0.00018,0,0.07523
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__Streptococcus_parasanguinis_unclassified,0,0.02391,0.00891,0.03588,0,0.06484,0.0137,0.01162,0.03973,0,0.01426,0.00882,0,0.06889,0.1987,0.06168,0.08034,0.3789,0.08277,0.00544,0.01851,0.0324,0.06172,0.05694,0.03373,0.0137,0.02082,0.03383,0.02199,0.00197,0.00513,0.0081,0,0,0,0.0511
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__Lactococcus_lactis_unclassified,0,0,0,0.01176,0,0,0,0,0.00092,0,0.0032,0,0,0,0,0,0,0.00243,0.07391,0,0,0,0,0.00821,0.00357,0.00294,0.06496,0.00434,0.00432,0,0.06127,0.00057,0,0.00075,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_morbillorum|t__GCF_000185645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis|t__Streptococcus_infantis_unclassified,0,0,0,0,0,0.00171,0,0.00125,0.00302,0,0,0,0,0,0.00312,0.00066,0.01154,0.01383,0.00361,9.00E-04,0,0,0,0,0,0,0,0.00148,0.00046,0,0,0,0,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_phage_Lc_Nu|t__Lactobacillus_phage_Lc_Nu_unclassified,0,0,0,0,0,0.04425,0,0,0,0,0,0,0,0.00564,0,0,0,0,0,0,0,0,0.00714,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii|t__GCF_000154445,0,0,0,0.00163,0.00326,0,0,0.02023,0.0177,0,0,0,0.00412,0.00174,0.004,0,0,0,0.00495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_variabile|t__GCF_000157955,0,0,0,0,0,0.00231,0,0.01466,0,0,0,0,0,0,0,0,0,0,0,0.00132,0.00044,0.00011,0.00137,0,0,0,0,0,0,0,0,0.00096,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas|s__Parvimonas_micra|t__GCF_000154405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis|t__Bacteroides_massiliensis_unclassified,0,15.04312,0,0,3.73795,8.2194,0,0,1.50927,0.3269,6.00E-05,0,0,0.73239,0.69576,4.90854,0,0,0,0,0,0,0,0,0,0,4.16028,1.29561,2.20319,0,0,0.00015,0.00074,0.00021,0.00028,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas|s__Butyricimonas_synergistica|t__GCF_000379665,0,0,0,0,0,0,0,0,0,0.00342,0,0,0,0,0,0,0,0,0,0.0712,0.00012,7.00E-05,0,0,0,0,0,0,0,0,0,0.00068,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis|t__GCF_000312145,0,0.02226,2.53981,0.01046,0.50717,0.00827,0.45277,0.00138,0.46859,0.35849,0,0,0,0.01781,0.00981,0.0137,0,0,0.00027,0.03907,0,0,0,0,0,0,0.00265,0.00105,0.00091,0.68983,0.81766,0.31251,0.00137,0.00049,0.00104,0.00264
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_6_1_45|t__GCF_000242175,0,0,0.02811,0.00032,0,0,0,0.00491,0.00473,0,0.00171,0,0,0.00409,0.00018,0.00139,0,0,0,0.00082,0,0,0.00018,0.00056,0,0,0.00184,0.00239,0.00062,0,0.00016,0,0.00184,0.00192,0.00028,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus,0,3.13462,0,0,0.02861,0,0,0,0,0,0,0,0,0.06074,0.0229,0.03497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera,0,0.54405,0,0,0.48176,0,0,0,0,0,0,0,0,1.64639,0.5707,1.20346,0,0,0,0,0,0,0,0,0.00128,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas,0,0.06129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter,0,0.00353,0,0,0,0,0.00021,5.00E-05,0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter,0,0.00196,0.01892,0,0,0.00605,0.00167,0.05362,0.00873,0,0,0.03838,0.0055,0.00348,0.0135,0,0.00258,0.01141,0.00568,0,0.01051,0.01265,0.003,0.04233,0,0.03162,0.08626,0.15005,0.02105,0.05407,0.02748,0.04549,0,0,0,0.00025
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_unclassified,0,3.13462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,0,1.68969,0,0,0.22889,4.42377,0.01404,0,0,0,0,0.2946,0,0,0,0,0,0,0,3.67312,4.78873,1.4216,7.14528,0.17693,0,0,0,0,0.00026,0,0,0,0.00022,0,6.00E-05,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,0,1.08935,0,2.77541,0.00194,2.54323,0,2.89868,0,1.69795,0,0,4.30341,0,0,0,0,0,0,0,4.88976,3.89156,5.5704,0,0,8.03177,0,0,0,0.27185,0.24285,0.91376,0,0,0,0.01425
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AP11,0,0.73216,0,4.32646,0.26585,0,0,0,0.36671,0.32177,0,0,0,4.59752,3.76483,1.92185,0.40225,0.30104,0.56662,0,0.61557,2.25226,1.36658,0,0,1.95117,0,0,0,0.24037,0.36317,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_KLE_1728,0,0.62825,0,0,0.91049,0.18747,0,0,0,0,0,1.22158,0,0.59691,0,0.55153,0,0,0,0,0,0,0.18159,0,0,0,0.28944,0,0.28039,0,0,0,0.23647,0.51472,0.54159,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_unclassified,0,0.54405,0,0,0.47955,0,0,0,0,0,0,0,0,1.64639,0.5707,1.20346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified,0,0.17658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072,4.43577,0,0,0,0,0,0,1.57618,1.33657,0.85618,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_unclassified,0,0.03999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_laneus,0,0.02582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11492,0.48714,0.25453,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_hypermegale,0,0.0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis,0,0.01778,0,0,0,0,0,0.00116,0,0,0,0,0,0.19561,0.30158,0.47574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,0,0.01179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01244,0.01748,0.00375,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified,0,0.00353,0,0,0,0,0.00021,5.00E-05,0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei,0,0.00291,0,0,0,0.02532,0,0,0,0,0,0,0,0.02443,0.04314,0.04679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0,0.00214,0,0,0,0.02209,0,0,0,0.04893,0,0,0.01131,0,0,0,0.28569,0.82566,0.77812,0.0084,0,0,0,0,0,0.11505,0.39343,0.80924,0.47146,0,0.01709,0.15719,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,0,0.00196,0.01892,0,0,0.00605,0.00167,0.05362,0.00873,0,0,0.03838,0.0055,0.00348,0.0135,0,0.00258,0.01141,0.00568,0,0.01051,0.01265,0.003,0.04233,0,0.03162,0.08626,0.15005,0.02105,0.05407,0.02748,0.04549,0,0,0,0.00025
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii|t__Bacteroides_finegoldii_unclassified,0,1.68969,0,0,0.22889,0,0.01404,0,0,0,0,0.2946,0,0,0,0,0,0,0,0.08334,4.78873,1.4216,7.14528,0.17693,0,0,0,0,0.00026,0,0,0,0.00022,0,6.00E-05,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus|t__Bacteroides_cellulosilyticus_unclassified,0,1.08935,0,2.77541,0.00194,2.54323,0,2.89868,0,1.69795,0,0,4.30341,0,0,0,0,0,0,0,4.88976,3.89156,5.5704,0,0,8.03177,0,0,0,0.27185,0.24285,0.91376,0,0,0,0.01425
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AP11|t__GCF_000321205,0,0.73216,0,4.32646,0.26585,0,0,0,0.36671,0.32177,0,0,0,4.59752,3.76483,1.92185,0.40225,0.30104,0.56662,0,0.61557,2.25226,1.36658,0,0,1.95117,0,0,0,0.24037,0.36317,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_KLE_1728|t__GCF_000469425,0,0.62825,0,0,0.91049,0.18747,0,0,0,0,0,1.22158,0,0.59691,0,0.55153,0,0,0,0,0,0,0.18159,0,0,0,0.28944,0,0.28039,0,0,0,0.23647,0.51472,0.54159,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_laneus|t__GCF_000243215,0,0.02582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11492,0.48714,0.25453,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_hypermegale|t__GCF_000209975,0,0.0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis|t__GCF_000156175,0,0.01778,0,0,0,0,0,0.00116,0,0,0,0,0,0.19561,0.30158,0.47574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum|t__GCF_000173455,0,0.01179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01244,0.01748,0.00375,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei|t__GCF_000225705,0,0.00291,0,0,0,0.02532,0,0,0,0,0,0,0,0.02443,0.04314,0.04679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435,0,0.00214,0,0,0,0.02209,0,0,0,0.04893,0,0,0.01131,0,0,0,0.28569,0.82566,0.77812,0.0084,0,0,0,0,0,0.11505,0.39343,0.80924,0.47146,0,0.01709,0.15719,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae|t__GCF_000210055,0,0.00196,0.01892,0,0,0.00605,0.00167,0.05362,0.00873,0,0,0.03838,0.0055,0.00348,0.0135,0,0.00258,0.01141,0.00568,0,0.01051,0.01265,0.003,0.04233,0,0.03162,0.08626,0.15005,0.02105,0.05407,0.02748,0.04549,0,0,0,0.00025
k__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Eukaryota|p__Eukaryota_noname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname|o__Kinetoplastida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
