sample,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-48,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-47,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-10,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-9,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-8,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-1,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-14,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-13,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-12,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-11,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-15,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-17,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-16,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-19,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-18,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-2,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-21,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-20,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-23,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-22,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-24,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-29,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-25,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-26,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-27,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-28,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-3,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-36,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-35,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-39,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-30,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-31,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-32,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-33,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-34,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-38,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-37,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-42,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-41,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-40,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-44,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-43,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-4,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-45,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-46
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435,0,0,0.02809,0.00078,0.7037,0.32258,0.01749,0.10532,0.02117,0.05246,0.02462,0.07305,1.30167,0,0.00365,0,0.03244,0,0,0,0.04291,0,0.11516,0,0,0,0.02384,0.06635,0.3225,0.07438,0,0,0.01783,0.02598,0.00423,0,0.04955,0.03729,0,0,0.12376,0,0.01034,0.0326,0.02072
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__Streptococcus_thermophilus_unclassified,0,0,0.01899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Shigella|s__Shigella_sonnei|t__Shigella_sonnei_unclassified,0,0,0.01556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus|t__GCF_000469345,0,0,0.01537,0,0,0,0.01328,0.01206,0,0,0,0,0,0.00454,0.05649,0,0,0.04351,0,0,0,0,0,0.01573,0.03502,0,0.002,0,0.00642,0.10668,0,0,0,0,0,0.01815,0,0,0,0,0.04458,0,0.00154,0.00398,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__Streptococcus_salivarius_unclassified,0,0,0.01271,0,0.01156,0,0,0,0.00255,0.00539,0,0.00272,0.01136,0.00027,0.02992,0,0.00566,0,0.00425,0.05906,0,0,0,0.0267,0,0,0.00422,0,0,0.0092,0,0,0.04647,0.00101,0.00024,0,0.02561,0.00158,0.00027,0,0.01189,0.0511,0.02974,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_salivarius|t__Lactobacillus_salivarius_unclassified,0,0,0.01033,0,0.01072,0,0,0.01037,0.00543,0.00659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00908,0.00362,0,0,0,0,0,0.00591,0.00159,0,0.00984,0,0,0.00049,0.0318,0.02604,0.01034,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae|t__Clostridium_bolteae_unclassified,0,0,0.01016,0.04739,0.07121,0.00528,0.02538,0,0.01219,0,0.02301,0.00065,0,0,0,0.17998,0.01949,0.00454,0.0086,0.0063,0.05111,0.14447,0.02013,0.0112,0,0,0,0.00455,0,0,0,0,0.00786,0.01083,0.43576,0,0,0,0.01821,0,0,0,0,0.01272,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__Dorea_formicigenerans_unclassified,0,0,0.00698,0,0.06327,0.00606,0,0.01247,0.00252,0,0,0.0119,0.00614,0,0.03088,0,0.02464,0.0035,0,0.01298,0.03101,0.01628,0,0.04316,0.04058,0,0.00019,0,0,0.03869,0,0,0,9.00E-04,0.15759,0.00249,0.02708,0.02235,0,0.00082,0.11265,0.01729,0,0.03693,0.00312
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus|t__Bacteroides_cellulosilyticus_unclassified,0,0,0.00395,0,0.00289,0,1.06932,0.18745,0.75051,0.13558,0.58825,0.00859,0.00459,0.00193,0.02118,0.00498,0.15316,5.96071,0.00423,0.83987,0,0.1047,0,0.00492,0,0,0.00627,0.70094,0,0,0,0.94898,0.6869,0.568,0,0.71253,0.0235,0.01311,0,0.00102,0.27544,0,0,0.08185,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus|t__Ruminococcus_gnavus_unclassified,0,0,0.00273,0.23964,0.12088,0.04779,0.22431,0,0,0.0013,0.03918,0,0.00942,0,0.07852,0.09489,0.01039,0,0.01847,0.02564,0.28311,0.09761,0.00671,0.00031,0.00444,0,0.0178,0,0,0,0,0,0.01824,0.00742,0.1111,0.00126,0.02803,0.13061,0.02164,0,0,0.00734,1.06933,0.09936,0
k__Bacteria|p__Fusobacteria,0,0,0,1.59661,0.11345,0,0,0.12392,0,0,0,0,0,0,0.05535,5.50666,0.00016,0,0,0.00815,0,0,0,0,0,0,0.01166,0,0,0,0,0,0,0,0,0,0.11754,0.52759,0,0.00346,0,0.05577,0.00554,8.88883,0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia,0,0,0,1.59661,0.11345,0,0,0.12392,0,0,0,0,0,0,0.05535,5.50666,0.00016,0,0,0.00815,0,0,0,0,0,0,0.01166,0,0,0,0,0,0,0,0,0,0.11754,0.52759,0,0.00346,0,0.05577,0.00554,8.88883,0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales,0,0,0,1.59661,0.11345,0,0,0.12392,0,0,0,0,0,0,0.05535,5.50666,0.00016,0,0,0.00815,0,0,0,0,0,0,0.01166,0,0,0,0,0,0,0,0,0,0.11754,0.52759,0,0.00346,0,0.05577,0.00554,8.88883,0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae,0,0,0,1.59661,0.11345,0,0,0.12392,0,0,0,0,0,0,0.05535,5.50666,0.00016,0,0,0.00815,0,0,0,0,0,0,0.01166,0,0,0,0,0,0,0,0,0,0.11754,0.52759,0,0.00346,0,0.05577,0.00554,8.88883,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Inoviridae,0,0,0,0.01795,0,0,0,0,0,0,0,0.01034,0,0,0,0,0,0,0,0,0,0,0.02002,0,0,0,0,0,0,0,0.01485,0,0.0073,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium,0,0,0,1.59661,0.11345,0,0,0.12392,0,0,0,0,0,0,0.05535,5.50666,0.00016,0,0,0.00815,0,0,0,0,0,0,0.01166,0,0,0,0,0,0,0,0,0,0.11754,0.52759,0,0,0,0.05577,0.00554,8.88883,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Inoviridae|g__Plectrovirus,0,0,0,0.01795,0,0,0,0,0,0,0,0.01034,0,0,0,0,0,0,0,0,0,0,0.02002,0,0,0,0,0,0,0,0.01485,0,0.0073,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter,0,0,0,0.00944,0,0,0,0.02509,0,0,0,0.31884,0,0.00417,0.05586,0,0,0,0,0,0,0,0.71719,0,0,0,0,0.06355,0,0.07786,0,0,0,0,0,0,0.00415,0.1135,0.00362,0.02693,0,0.02601,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella,0,0,0,0.00465,0,0.00251,0,0,0.00439,0,0.01751,0,0.2656,0,0,0.00459,0.00328,0.0086,0,0.00211,0,0.00104,0,0,0.03246,0,0,0,0,0.09465,0,0,0.00459,0,0,0.00161,0,0,0,0.00111,0,0,0,0.06231,0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_mortiferum,0,0,0,1.59661,0.11345,0,0,0.12392,0,0,0,0,0,0,0.05535,5.50666,0,0,0,0,0,0,0,0,0,0,0.01166,0,0,0,0,0,0,0,0,0,0.11754,0.52759,0,0,0,0.05469,0.00554,8.88883,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified,0,0,0,0.45831,0.43069,0.09496,0,0,0,0,0,0,0.271,0,0.08781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285,0,0,0.132,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_unclassified,0,0,0,0.05573,0,0.01322,0,0.02694,0,0.03054,0.00549,0,0.02391,0.00385,0,0,0,0.13996,0.01076,0,0,0,0.04602,0,0,0.01104,0,0,0,0,0,0,0,0.00784,0,0,0.02193,0,0,0.00738,0.34589,0,0,0.00563,0.02501
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified,0,0,0,0.03567,0,0.01353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Inoviridae|g__Plectrovirus|s__Plectrovirus_unclassified,0,0,0,0.01795,0,0,0,0,0,0,0,0.01034,0,0,0,0,0,0,0,0,0,0,0.02002,0,0,0,0,0,0,0,0.01485,0,0.0073,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA,0,0,0,0.01246,0,0.0068,0.02725,0,0,0,0.01604,0,0,0,0,0,0.00996,0,0,0,0.00052,0.02269,0,0.02387,0,0,0,0,0,0,0,0,0,0,0.00414,0.00046,0,0.03224,0.00603,0,0,0.00062,0,20.91637,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae,0,0,0,0.00944,0,0,0,0.02509,0,0,0,0.31884,0,0.00417,0.05586,0,0,0,0,0,0,0,0.71719,0,0,0,0,0.06355,0,0.07786,0,0,0,0,0,0,0.00415,0.10819,0.00362,0.02693,0,0.02601,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus|s__Porcine_type_C_oncovirus,0,0,0,0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315,0,0.00408,0,0,0,0,0,0,0,0.00478,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,0,0,0,0.00465,0,0.00251,0,0,0.00439,0,0.00808,0,0.249,0,0,0.00459,0.00328,0,0,0.00211,0,0.00104,0,0,0.03246,0,0,0,0,0.09465,0,0,0.00459,0,0,0.00161,0,0,0,0.00111,0,0,0,0.06095,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae,0,0,0,0.00168,0.03989,0,0.02178,0,0,0,0,0,0,0,0,0.01987,0,0,0,0,0,0.00054,0,0.03472,0,0.00832,0.00125,0,0,0.00403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA,0,0,0,0.00147,0.00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151,0.04466,0,0,0,0,0,0,0,0,0,0,0,0.00682,0,0,0,0,0,0,0,0,0,0,0,0.01122
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_mortiferum|t__GCF_000158195,0,0,0,1.59661,0.11345,0,0,0.12392,0,0,0,0,0,0,0.05535,5.50666,0,0,0,0,0,0,0,0,0,0,0.01166,0,0,0,0,0,0,0,0,0,0.11754,0.52759,0,0,0,0.05469,0.00554,8.88883,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA|t__GCF_000218465,0,0,0,0.01246,0,0.0068,0.02725,0,0,0,0.01604,0,0,0,0,0,0.00996,0,0,0,0.00052,0.02269,0,0.02387,0,0,0,0,0,0,0,0,0,0,0.00414,0.00046,0,0.03224,0.00603,0,0,0.00062,0,20.91637,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae|t__Enterobacter_cloacae_unclassified,0,0,0,0.00944,0,0,0,0.02509,0,0,0,0.31884,0,0.00417,0.05586,0,0,0,0,0,0,0,0.71719,0,0,0,0,0.06355,0,0.07786,0,0,0,0,0,0,0.00415,0.10819,0.00362,0.02693,0,0.02601,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus|s__Porcine_type_C_oncovirus|t__PRJNA14126,0,0,0,0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315,0,0.00408,0,0,0,0,0,0,0,0.00478,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae|t__Streptococcus_mitis_oralis_pneumoniae_unclassified,0,0,0,0.00168,0.03989,0,0.02178,0,0,0,0,0,0,0,0,0.01987,0,0,0,0,0,0.00054,0,0.03472,0,0.00832,0.00125,0,0,0.00403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA|t__GCF_000218385,0,0,0,0.00147,0.00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151,0.04466,0,0,0,0,0,0,0,0,0,0,0,0.00682,0,0,0,0,0,0,0,0,0,0,0,0.01122
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0,0,0,0,0.14146,0.05698,0,0,0.04943,0,0,0,0,0,0.03336,0,0.00637,0,0,0,0.0225,0,0.02813,0.04612,0.00533,0,0,0,0.02715,0,0,0,0,0,0,0,0,0.03386,0.0293,0.02017,0,0.0343,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,0,0,0,0,0.02079,0.00577,0,0,0,0,0,0,0,0,0,0.00449,0,0,0,0,0,0,0,0.00317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname,0,0,0,0,0.14146,0.05698,0,0,0.04943,0,0,0,0,0,0.03336,0,0.00637,0,0,0,0.0225,0,0.02813,0.04612,0.00533,0,0,0,0.02715,0,0,0,0,0,0,0,0,0.03386,0.0293,0.02017,0,0.0343,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella,0,0,0,0,0.02079,0.00577,0,0,0,0,0,0,0,0,0,0.00449,0,0,0,0,0,0,0,0.00317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname,0,0,0,0,0.0035,0,0,0,0.01035,0,0.00043,0,0,0,0,0.00427,0.004,0,0,0.00347,0,0.02632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00284,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus,0,0,0,0,0.26986,0,0,0,0.00464,0,0,0.0504,0,0,0,1.00056,0,0,0,0,0,0,0,0,0,0,0.00172,0.70935,0.04202,0,0,0,0,0.02591,0,0.00509,0.01895,0.17436,0,0.00145,0.10151,0.00111,0.00437,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified,0,0,0,0,0.14146,0.05667,0,0,0.04943,0,0,0,0,0,0.03336,0,0.00637,0,0,0,0,0,0.02813,0.04612,0,0,0,0,0.02715,0,0,0,0,0,0,0,0,0.03386,0.0293,0.01582,0,0.0343,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,0,0,0,0,0.04568,0,0,0,0,0,0,0.00403,0.02953,0,0.02551,0,0.07733,0.00472,0,0,0.04818,0,0.0405,0,0.04472,0,0.00021,0,0,0.03674,0,0,0.00599,0,0,0.00598,0,0.00159,0.00298,0,0.043,0,0,0.01797,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA,0,0,0,0,0.03649,0.00679,0.00048,0,0,0.03722,0,0,0.00969,0,0.00656,0,0.01226,0,0.00604,0.09928,0.002,0,0.00577,0,0.00524,0.01616,0,0,0.00557,0.03204,0,0,0.01755,0.04818,0,0.00249,0,0.34909,0,0,0.03069,0,0,0.04217,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_unclassified,0,0,0,0,0.02079,0,0,0,0,0,0,0,0,0,0,0.00449,0,0,0,0,0,0,0,0.00317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA,0,0,0,0,0.0035,0,0,0,0.01035,0,0.00043,0,0,0,0,0.00427,0.004,0,0,0.00347,0,0.02632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00284,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus|t__GCF_000195615,0,0,0,0,0.26986,0,0,0,0.00464,0,0,0.0504,0,0,0,1.00056,0,0,0,0,0,0,0,0,0,0,0.00172,0.70935,0.04202,0,0,0,0,0.02591,0,0.00509,0.01895,0.17436,0,0.00145,0.10151,0.00111,0.00437,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii|t__GCF_000173975,0,0,0,0,0.04568,0,0,0,0,0,0,0.00403,0.02953,0,0.02551,0,0.07733,0.00472,0,0,0.04818,0,0.0405,0,0.04472,0,0.00021,0,0,0.03674,0,0,0.00599,0,0,0.00598,0,0.00159,0.00298,0,0.043,0,0,0.01797,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525,0,0,0,0,0.03649,0.00679,0.00048,0,0,0.03722,0,0,0.00969,0,0.00656,0,0.01226,0,0.00604,0.09928,0.002,0,0.00577,0,0.00524,0.01616,0,0,0.00557,0.03204,0,0,0.01755,0.04818,0,0.00249,0,0.34909,0,0,0.03069,0,0,0.04217,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA|t__GCF_000155435,0,0,0,0,0.0035,0,0,0,0.01035,0,0.00043,0,0,0,0,0.00427,0.004,0,0,0.00347,0,0.02632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00284,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes,0,0,0,0,0,0.00395,0,0,0,0,0,0,0.0381,0,0,0,0,0,0.04763,0.01148,0.00038,0,0,0,0,0,0,0,0,0.00046,0,0,0.00294,0,0,0,0,0.13641,0,0,0,0,0,0.08098,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans,0,0,0,0,0,0.00577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,0,0,0,0,0,0.00395,0,0,0,0,0,0,0.0381,0,0,0,0,0,0.04763,0.01148,0.00038,0,0,0,0,0,0,0,0,0.00046,0,0,0.00294,0,0,0,0,0.13641,0,0,0,0,0,0.08098,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,0,0,0,0,0,0.00327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii,0,0,0,0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225,0,0,0,0.00533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00435,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified,0,0,0,0,0,7.00E-05,0.28015,0,0,0,3.51047,0,0,0,0,0,0,0,0,0.62291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans|t__GCF_000162475,0,0,0,0,0,0.00577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__GCF_000332875,0,0,0,0,0,0.00395,0,0,0,0,0,0,0.0381,0,0,0,0,0,0.04763,0.01148,0.00038,0,0,0,0,0,0,0,0,0.00046,0,0,0.00294,0,0,0,0,0.13641,0,0,0,0,0,0.08098,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum|t__GCF_000173455,0,0,0,0,0,0.00327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii|t__GCF_000154445,0,0,0,0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225,0,0,0,0.00533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00435,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,0,0,0,0,0,0,0.01117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01146,0,0,0,0.01851,0,0.01436,0,0.00754,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae,0,0,0,0,0,0,0.01117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01146,0,0,0,0.01851,0,0.01436,0,0.00754,0,0,0,0,0,0,0,0,0,0,0,0
