sample,LiJ_2017.metaphlan_bugs_list.stool:nHF409542,LiJ_2017.metaphlan_bugs_list.stool:nHF411719,LiJ_2017.metaphlan_bugs_list.stool:nHF411741,LiJ_2017.metaphlan_bugs_list.stool:nHF511704,LiJ_2017.metaphlan_bugs_list.stool:nHF512818,LiJ_2017.metaphlan_bugs_list.stool:nHF512829,LiJ_2017.metaphlan_bugs_list.stool:nHF611623,LiJ_2017.metaphlan_bugs_list.stool:nHF611710,LiJ_2017.metaphlan_bugs_list.stool:nHF612722,LiJ_2017.metaphlan_bugs_list.stool:nHM410714,LiJ_2017.metaphlan_bugs_list.stool:nHM410727,LiJ_2017.metaphlan_bugs_list.stool:nHM410833,LiJ_2017.metaphlan_bugs_list.stool:nHM411801,LiJ_2017.metaphlan_bugs_list.stool:nHM412703,LiJ_2017.metaphlan_bugs_list.stool:nHM412716,LiJ_2017.metaphlan_bugs_list.stool:nHM412839,LiJ_2017.metaphlan_bugs_list.stool:nHM412844,LiJ_2017.metaphlan_bugs_list.stool:nHM510732,LiJ_2017.metaphlan_bugs_list.stool:nHM510737,LiJ_2017.metaphlan_bugs_list.stool:nHM510831,LiJ_2017.metaphlan_bugs_list.stool:nHM511615,LiJ_2017.metaphlan_bugs_list.stool:nHM511712,LiJ_2017.metaphlan_bugs_list.stool:nHM511717,LiJ_2017.metaphlan_bugs_list.stool:nHM511720,LiJ_2017.metaphlan_bugs_list.stool:nHM511730,LiJ_2017.metaphlan_bugs_list.stool:nHM511735,LiJ_2017.metaphlan_bugs_list.stool:nHM511738,LiJ_2017.metaphlan_bugs_list.stool:nHM511813,LiJ_2017.metaphlan_bugs_list.stool:nHM511821,LiJ_2017.metaphlan_bugs_list.stool:nHM512705,LiJ_2017.metaphlan_bugs_list.stool:nHM512802,LiJ_2017.metaphlan_bugs_list.stool:nHM512806,LiJ_2017.metaphlan_bugs_list.stool:nHM512811,LiJ_2017.metaphlan_bugs_list.stool:nHM512828,LiJ_2017.metaphlan_bugs_list.stool:nHM512834,LiJ_2017.metaphlan_bugs_list.stool:nHM611708,LiJ_2017.metaphlan_bugs_list.stool:nHM612607,LiJ_2017.metaphlan_bugs_list.stool:nHM612709,LiJ_2017.metaphlan_bugs_list.stool:nHM612724,LiJ_2017.metaphlan_bugs_list.stool:nHM612743,LiJ_2017.metaphlan_bugs_list.stool:nHMX11726
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,0.23444,0.8323,0.07366,0.18139,0.41556,4.75888,0.71411,0.27184,0.44646,1.62018,0.14543,0.20318,0.89752,1.24402,0.20629,0.49102,0.73835,0.35533,0.03368,0.38791,1.20612,0.57558,0.48926,0.24664,0.24164,0.02693,0.03708,0.03286,0.99159,0.07894,0.20534,0.00449,0.07507,0.0273,1.28074,1.06822,0.38948,1.37286,1.33917,0.33898,0.05046
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,0.09847,0.0446,0,0.08383,0,0,0.04194,0.03167,0.05997,0.30925,0.11269,0.09259,0,0.09461,0.34725,0.0038,0.0853,0.03184,0.0077,0,0.09821,0.34453,0.05939,0.04363,0.21774,0,0.06448,0.03744,0.07625,0.09177,0,0.0017,0.03059,0.0254,0,0.0166,0.06489,0.01925,0,0.14405,0.08762
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,0,2.55057,0.04854,0.01099,0.64291,3.78279,0.01974,3.33486,0.04257,0.08454,0.99568,0,3.24635,0,0.04102,0.91734,0.06281,8.21606,0.98999,0.77758,2.35749,0.11164,12.16609,0.01733,4.98119,6.09265,0,0.01063,0.00491,0.95761,0.20251,0.0744,0.2332,1.34462,1.6765,1.50538,1.18075,1.81914,0.04806,0.38276,0.15067
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname,0,0,0,0.00954,0.01435,0,0.42372,0,0,0.01496,0.01841,0.0284,0.0307,0,0,0,0,0.00233,0,0,0,0.04371,0,0,0,0.00515,0,0,0,0.06385,0,0,0,0.00479,0,0.01376,0.03417,0.00821,0,0,0.11546
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,0,0.11011,0.00524,0.00875,0,0.01286,0.02158,0.00207,0,0.00319,0.01135,0,0.09661,0.03301,0,0.0086,0.00982,0.00657,0,0,0.06162,0.01936,0,0.00884,0,0,0,0,0.44709,0,0.30798,0.0454,0,0,0.09749,0.08994,0.00122,0.02624,0,0.00215,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,0.46736,0.94475,0.63602,0.00301,0.52973,1.33533,0.78816,0.79324,1.03788,0.23779,0.95869,0.28269,16.42879,0.99561,2.61875,26.29447,7.65171,0.21353,0.15427,0,0.81871,0.88892,0.23372,1.85661,0.85919,14.80841,0.1733,0.4513,0.23467,5.55821,0.3101,1.83274,1.46604,1.75451,0.74938,10.47985,0,54.85282,9.38086,0.82267,0.25402
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,7.44402,0.39585,0.42547,45.37836,0.3458,1.66753,0,0.00848,1.20878,0.32783,2.23504,12.49987,52.73542,3.08848,0.01035,0.15419,1.51336,14.49233,0.74009,0.65672,0.60644,0.70834,42.02482,0.5646,0.07917,3.73091,1.89517,0.28732,37.33106,0.76103,0.15582,3.30914,0.43828,3.68982,0.82794,0.53991,1.39012,1.75501,0,9.72314,0.40273
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,10.27004,63.47269,4.80591,28.34786,36.47865,42.87661,46.07954,8.67669,30.80039,8.73148,31.11589,50.6919,0.5754,26.86539,5.72538,0.74771,23.96717,1.53004,1.62478,40.00521,16.78107,23.19642,0.6469,30.286,33.81288,2.2669,16.90965,15.25851,16.99288,6.90463,1.05877,15.80789,40.72816,6.3689,11.84351,14.75265,19.92324,0.40605,20.84033,38.3989,14.18967
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,4.1919,20.50724,9.58739,9.50803,44.53139,0.40388,35.28646,18.13283,9.11073,7.41459,7.5202,26.91011,10.7878,25.34661,30.42752,35.06026,8.47753,32.3905,4.80148,54.92467,53.75526,38.86256,16.33122,50.08607,23.26976,35.37296,27.35343,6.93046,23.09107,24.16328,9.4355,0.08354,16.12869,10.20103,69.82958,20.33371,39.51344,9.86189,28.16402,17.75881,6.75951
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,8.22823,0,0,5.43418,3.85287,0,0.03674,0.40974,4.74618,2.15312,0.91755,3.27654,0.04474,3.6546,4.31011,1.71074,4.1649,3.13671,0,0,1.5713,9.50634,3.23851,0,2.29093,0.81389,1.32797,0.38165,0.77905,1.96616,0.18354,0,0.58156,0.00241,1.76431,1.40078,0,0.01867,3.19998,3.83187,0.45603
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,2.96365,0.65825,0,3.77103,4.20845,0.00407,0.40502,0.52021,1.84961,1.27414,0.16533,0.67583,0,0.50174,2.15873,2.94113,2.23112,0.2243,0.78709,1.51765,1.09449,4.32672,1.1905,0.41252,0.93029,0.7955,0.8213,0.23698,1.70273,0.58995,0.06792,0,1.44448,0.00595,0.10668,1.63285,1.02105,0.00378,5.16498,0.40963,0.34891
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,48.15901,4.09522,0.00769,2.50376,4.49698,20.63134,0,7.54028,44.97054,4.32957,27.93644,1.77761,0.00855,25.8182,46.3297,12.98563,12.1702,31.5306,2.26388,0.11752,1.27864,1.44451,3.82268,0,15.94656,0.40685,6.69626,9.5094,2.71552,19.82472,1.24159,0.1735,13.13638,0.30953,0,17.05518,13.15513,0.03826,19.06028,9.25628,9.32605
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,3.9801,2.15274,2.23903,1.70831,1.17599,0.64054,9.5719,3.2179,0.30343,0.95568,2.53896,1.4662,0.81239,3.91653,1.23881,0.44118,14.66628,0.04837,0.28211,0.79372,9.07544,0.74666,1.04761,11.21683,1.88777,0.19665,1.10466,7.13986,9.0435,0.43204,1.78826,5.75706,7.22317,2.87473,4.98099,2.6689,11.49575,20.14176,0.6687,10.42036,4.79588
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,3.4237,0.24635,0.11991,1.26325,0.4342,0.00536,0,2.82408,0.19589,0.5159,4.7497,0.7881,0,2.51179,1.17385,0.14256,16.76774,0.54534,0.40047,0.17515,0.14844,0.16546,0.74554,0.30161,3.08503,0.48235,0.66634,2.81773,4.66115,0.91345,0.1024,0.15934,3.7422,0.20507,1.34939,0.5831,1.57177,0.05001,1.38143,5.22484,5.48198
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.22144,0.08659,0,1.1853,1.05047,0.33614,0.15736,0.01559,0.09234,0.01729,0.03233,0.213,0.0098,0.16779,0.02749,0.00888,0.12674,0.0246,0.00187,0.12624,0,0.65386,0,0.09484,0.23327,4.71875,0.10283,0.01094,0.65147,0.07682,0,0.32268,0.21154,0,0.00675,0.00862,0.01142,0.55357,0.11929,0.28879,1.43157
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,0.00599,0.83599,2.95632,0.36033,0.06254,0.003,3.53164,8.23032,0.02929,0.25355,0.459,0.07312,0.02234,2.62844,1.42581,0.04307,6.95747,0.12235,0.0202,0.02562,1.52839,0.09113,0.4402,3.0395,1.37714,0.13323,0.06613,3.56538,0.08976,0.17815,0.47726,0.03523,9.40634,0.32502,3.70656,0.69793,7.77004,0.07235,0.75149,0.16577,2.16439
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname,0.25195,0.03766,0,0.24209,0.17966,1.6954,0.01172,0.00302,0.0485,0,0.01171,0.21289,0,0.03439,0.0466,0.00062,0.12019,0,0,0.03738,0.13181,0.10253,0.05041,0.06456,0.01971,0.01726,0.02942,0.00204,0.096,0.02316,0,0,0.0121,0,0.03821,0,0.05355,1.82143,0.12088,0.03121,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,0.23444,0.8323,0.07366,0.18139,0.41556,4.75888,0.71411,0.27184,0.44646,1.62018,0.14543,0.20318,0.89752,1.24402,0.20629,0.49102,0.73835,0.35533,0.03368,0.38791,1.20612,0.57558,0.48926,0.24664,0.24164,0.02693,0.03708,0.03286,0.99159,0.07894,0.20534,0.00449,0.07507,0.0273,1.28074,1.06822,0.38948,1.37286,1.33917,0.33898,0.05046
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,0.09847,0.0446,0,0.08383,0,0,0.04194,0.03167,0.05997,0.30925,0.11269,0.09259,0,0.09461,0.34725,0.0038,0.0853,0.03184,0.0077,0,0.09821,0.34453,0.05939,0.04363,0.21774,0,0.06448,0.03744,0.07625,0.09177,0,0.0017,0.03059,0.0254,0,0.0166,0.06489,0.01925,0,0.14405,0.08762
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,0,2.52909,0.04854,0.01099,0.64291,3.78279,0.01974,0.02387,0.04257,0.08454,0.94359,0,3.24635,0,0.04102,0,0.06281,1.40941,0.98999,0.77758,2.35749,0.11164,2.3939,0.01733,0,0.01772,0,0.01063,0.00491,0.94237,0.20251,0.0744,0.2332,1.31684,1.6765,0.27636,1.18075,1.81914,0.04806,0.38276,0.15067
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae,0,0,0,0.00954,0.01435,0,0.42372,0,0,0.01496,0.01841,0.0284,0.0307,0,0,0,0,0,0,0,0,0.04371,0,0,0,0,0,0,0,0.06385,0,0,0,0.00479,0,0.01376,0.03417,0.00821,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,0,0,0,0.00875,0,0,0,0,0,0,0.01135,0,0.02824,0.01255,0,0,0,0,0,0,0.01713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,0.20922,0.50454,0.43213,0.00301,0.52973,0.01929,0.44396,0.32763,0.58498,0.15698,0.70487,0.18287,16.42879,0.44577,2.024,26.2757,3.92997,0.15683,0.10564,0,0.18269,0.88892,0.1989,1.25639,0.39669,14.80571,0.12873,0.17919,0.07039,5.54577,0.27267,1.77122,0.63259,1.7542,0.37886,10.22829,0,54.84117,9.36063,0.44146,0.14463
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia,6.91747,0.31976,0.03187,45.35892,0.3458,1.58893,0,0,0.75991,0.32783,0.67338,12.49987,52.70138,2.65445,0.00739,0.06895,1.50122,1.1319,0.71654,0.65672,0.0916,0.01319,3.21747,0.24778,0.07917,1.39245,1.07864,0.2608,37.2472,0.11986,0.13982,1.99552,0.10528,3.38532,0.80937,0.31403,0.14514,1.74122,0,8.91836,0.40273
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,10.27004,63.47269,4.80591,28.34786,36.47865,42.87661,46.07954,8.67669,30.80039,8.73148,31.11589,50.6919,0.5754,26.86539,5.72538,0.74771,23.96717,1.53004,1.62478,40.00521,16.78107,23.19642,0.6469,30.286,33.81288,2.2669,16.90965,15.25851,16.99288,6.90463,1.05877,15.80789,40.72816,6.3689,11.84351,14.75265,19.92324,0.40605,20.84033,38.3989,14.18967
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum,2.63022,0.19777,0.25053,7.35733,1.59744,0,2.32359,1.46538,0.30637,0.88001,2.28646,0.19685,0.57075,1.57758,3.79418,1.99222,0.47019,3.02664,0.29767,3.22183,4.23635,7.92717,1.45931,0.55056,4.22938,1.42467,0.86449,1.93802,1.26257,0.81997,0.53432,0.00218,3.94888,1.07465,3.33046,3.45726,3.96132,0.57204,2.85499,3.91265,1.86476
