sample,HanniganGD_2017.metaphlan_bugs_list.stool:MG100155,HanniganGD_2017.metaphlan_bugs_list.stool:MG100156,HanniganGD_2017.metaphlan_bugs_list.stool:MG100157,HanniganGD_2017.metaphlan_bugs_list.stool:MG100158,HanniganGD_2017.metaphlan_bugs_list.stool:MG100159,HanniganGD_2017.metaphlan_bugs_list.stool:MG100161,HanniganGD_2017.metaphlan_bugs_list.stool:MG100162,HanniganGD_2017.metaphlan_bugs_list.stool:MG100163,HanniganGD_2017.metaphlan_bugs_list.stool:MG100164,HanniganGD_2017.metaphlan_bugs_list.stool:MG100165,HanniganGD_2017.metaphlan_bugs_list.stool:MG100166,HanniganGD_2017.metaphlan_bugs_list.stool:MG100167,HanniganGD_2017.metaphlan_bugs_list.stool:MG100168,HanniganGD_2017.metaphlan_bugs_list.stool:MG100169,HanniganGD_2017.metaphlan_bugs_list.stool:MG100170,HanniganGD_2017.metaphlan_bugs_list.stool:MG100171,HanniganGD_2017.metaphlan_bugs_list.stool:MG100172,HanniganGD_2017.metaphlan_bugs_list.stool:MG100173,HanniganGD_2017.metaphlan_bugs_list.stool:MG100174,HanniganGD_2017.metaphlan_bugs_list.stool:MG100175,HanniganGD_2017.metaphlan_bugs_list.stool:MG100176,HanniganGD_2017.metaphlan_bugs_list.stool:MG100177,HanniganGD_2017.metaphlan_bugs_list.stool:MG100178,HanniganGD_2017.metaphlan_bugs_list.stool:MG100179,HanniganGD_2017.metaphlan_bugs_list.stool:MG100180
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname,0.20879,0.79027,0.28172,0.66683,5.15586,1.31548,1.42598,0,0.0451,0.75887,3.23936,1.33712,0.59411,0.86154,0.33629,0.54096,0.5507,0.61117,0.31555,1.01854,3.21187,3.92174,1.53473,3.89147,0.8151
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,0.04517,1.004,0.16269,0,0.949,1.07208,1.95525,0,0.02224,4.08795,1.66705,1.23693,0,0.07883,0.93009,0.61286,0,0.18651,0.05223,0.20512,1.95358,3.65072,3.87757,0.94134,0.86043
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides,0,0,0,0.46602,0,0.19757,0,0,0,6.28371,0.34294,0.22875,0,0.19368,1.18668,0.2537,0,0,0.09059,0,1.0443,0,0.14128,0.04347,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter,0,0,0,0.76422,0,0.20051,0,0,0.00838,0.71995,0.41668,0,0,0.01238,0.19977,0.28048,0,0,0.08067,0,0.11636,0.04986,0,0.07772,0.00247
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes,0.00767,0.77832,0.15615,0.00525,0.08047,0.03631,0,0,0,0,0.39675,0.67285,0.19055,0,0.25237,0,1.12273,0.12384,0,0.0302,0.37737,0.05068,0.06101,2.25569,1.30631
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus,0,0,0.01585,2.58624,2.46312,0.05724,0,0,0,0.0265,0,0,1.12019,0,0,0,0,0,0,0.27754,0,0.01247,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium,21.85828,8.80464,2.44134,0.22603,5.15964,11.36737,6.68682,14.60113,0.41188,2.40279,10.09313,23.38854,0,9.89523,21.26638,59.47785,15.09761,7.55591,0.64698,6.43761,36.32793,20.60301,10.47692,20.32373,23.02209
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,0.59096,0.38887,8.81244,0.75798,3.96386,1.06085,0.08544,14.88831,0.10744,0.48886,0.81477,2.76214,0.65962,3.46636,0.75342,0.846,0.87647,25.2804,0.12912,2.14883,1.73906,0.82217,0.80148,1.99481,6.55133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,0,0,5.61987,16.77738,0,0,0,0,13.04806,2.30912,0,0,0,2.38124,14.85931,12.68609,7.79339,0,12.39173,0.8308,0,0,13.62483,0.02544,14.93322
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum,1.97211,2.97793,0.99922,0.1033,9.35646,2.92868,11.24758,0.66298,0.57129,0.00195,3.78064,2.60191,0,0.1446,2.8065,1.48904,3.58528,1.55513,0.44777,2.83861,1.47131,3.53777,0.92479,3.05538,1.56987
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified,1.05648,5.92221,2.23819,12.08965,1.40799,6.70602,14.49749,0,6.34681,4.20796,10.29157,10.50933,0.04339,10.3702,14.89193,2.25152,2.12906,0.8071,12.16715,1.43079,3.47413,2.21153,13.16192,8.6821,5.81048
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,0,0,0,0.00173,0,0.15638,0,0,0,0.95104,0.00196,0.13601,0.10633,0.123,0.32039,0,0,0,0.01513,0,0.54986,0.09966,0,0.15017,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,0.31704,0.19394,0,0,0,3.59739,6.69233,0,0,8.6727,0,0,0.83309,0,0,0,0,0.32423,0,0,0,0,0,0,0.07501
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,1.24585,1.57699,1.64072,1.38953,2.95737,1.1902,0,0,0,0.14583,1.9353,0,0.23254,0.01904,0,0,0.44781,0.44525,0,0.10132,0.41815,2.45864,0.18375,0.12946,0.11853
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,2.78044,1.05584,1.62426,0,2.3459,0,0.18586,0.06628,0.33655,0,0.54608,1.54487,0,0.34237,1.65067,0.43639,2.49903,0.50646,0.39788,1.07438,0.40484,0,1.78967,1.24291,0.48849
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,0.67796,1.10628,0,0,0,0.28106,1.6896,0,0,0.06224,1.17851,0.03743,0,0.09774,0.27573,0.14701,0.39076,0,0,0.29338,0.18899,0,0.53689,1.50152,0.00745
