sample,HanniganGD_2017.metaphlan_bugs_list.stool:MG100155,HanniganGD_2017.metaphlan_bugs_list.stool:MG100156,HanniganGD_2017.metaphlan_bugs_list.stool:MG100157,HanniganGD_2017.metaphlan_bugs_list.stool:MG100158,HanniganGD_2017.metaphlan_bugs_list.stool:MG100159,HanniganGD_2017.metaphlan_bugs_list.stool:MG100161,HanniganGD_2017.metaphlan_bugs_list.stool:MG100162,HanniganGD_2017.metaphlan_bugs_list.stool:MG100163,HanniganGD_2017.metaphlan_bugs_list.stool:MG100164,HanniganGD_2017.metaphlan_bugs_list.stool:MG100165,HanniganGD_2017.metaphlan_bugs_list.stool:MG100166,HanniganGD_2017.metaphlan_bugs_list.stool:MG100167,HanniganGD_2017.metaphlan_bugs_list.stool:MG100168,HanniganGD_2017.metaphlan_bugs_list.stool:MG100169,HanniganGD_2017.metaphlan_bugs_list.stool:MG100170,HanniganGD_2017.metaphlan_bugs_list.stool:MG100171,HanniganGD_2017.metaphlan_bugs_list.stool:MG100172,HanniganGD_2017.metaphlan_bugs_list.stool:MG100173,HanniganGD_2017.metaphlan_bugs_list.stool:MG100174,HanniganGD_2017.metaphlan_bugs_list.stool:MG100175,HanniganGD_2017.metaphlan_bugs_list.stool:MG100176,HanniganGD_2017.metaphlan_bugs_list.stool:MG100177,HanniganGD_2017.metaphlan_bugs_list.stool:MG100178,HanniganGD_2017.metaphlan_bugs_list.stool:MG100179,HanniganGD_2017.metaphlan_bugs_list.stool:MG100180
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis,0.04517,0.88073,0.12269,0,0,0.32407,0,0,0,4.04488,1.66705,0.66403,0,0.05206,0.1317,0.03082,0,0.01389,0,0.14554,1.82638,0.86922,2.63624,0.05675,0.86043
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii,0,0,0,0,0,0,0,0,0,0,0,0.00397,0,0,1.04053,0.23464,0,0,0,0,0,0,0.12718,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_dolichum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02371,0,0,0.12472,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA|t__GCF_000159975,15.47201,4.40449,0,0,34.27175,0,7.8514,0,0,0.97417,13.52583,7.05209,0,0,0,0,32.23436,24.69655,0,43.36044,25.59528,47.06225,7.37093,11.71705,15.34332
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035,19.42417,0,11.86078,0,0,12.91917,20.17425,0,1.72648,0,0,6.26548,0,7.05423,2.59883,0.95546,1.60905,7.33219,1.78522,12.55742,4.23078,0,18.14387,3.55853,6.85964
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes|t__GCF_000155875,5.57934,5.5333,1.7962,1.0637,7.26414,10.10915,0,0,0,0.36467,4.19308,3.50156,0,2.92164,0.58181,0.44421,0.56964,0,0.02154,0,3.11248,0,1.89243,2.14173,1.60646
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii|t__GCF_000173975,4.90882,3.88574,0,0,0,3.75489,5.90164,4.40569,0.25166,0.11108,4.66336,3.28281,0,4.37377,4.48811,0.62932,7.99374,0.49148,0.19827,6.06792,0.76696,6.2343,2.87106,15.48451,4.23841
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__Streptococcus_thermophilus_unclassified,0,0,4.94636,0,0,0,0,14.02643,0,0.083,0,1.28406,0,0.6735,0,0.83089,0,2.29212,0,0.79356,1.36223,0.82217,0.26544,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__GCF_000154065,1.91817,8.7462,1.05952,2.49704,7.35291,0,0,4.26626,0,0,1.13146,2.69001,0,2.01367,2.11896,0.45787,2.00002,0.82299,0.02274,0,0,0,2.87353,1.89293,1.52807
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus|t__GCF_000210555,0,2.46615,0,0,0,0,1.08085,0,0.20177,0,0,1.32179,0,0,0.80014,0.48549,0.04735,0.03744,0.19918,0.10859,0,0,1.518,2.59176,0.05332
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__Faecalibacterium_prausnitzii_unclassified,0.07374,2.4817,2.32073,0.01648,0.84965,4.24576,1.09643,1.97058,0.16064,4.49788,3.02921,10.76057,0.46772,1.09141,11.41054,1.0786,3.56559,4.97075,0.3314,5.57528,3.34496,4.44429,1.24947,1.38946,1.00611
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis|t__Roseburia_intestinalis_unclassified,0,0.12328,0,0,0.949,0.04943,1.83075,0,0,0,0,0.31153,0,0.00847,0.67697,0,0,0.1068,0,0.03033,0.12719,1.71458,0.89453,0.0484,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus|t__GCF_000469345,5.21365,0.54697,0.0666,0,0.39015,0,0,0,0,0.14224,0.12727,0.21301,0,0,0,0.10412,0.82968,0.6582,0.04923,0,0,0,0.05481,0.48783,0.28044
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica|t__GCF_000157975,1.35159,0,0.42465,0,0,1.15497,0.06309,0,0,0,0.38977,0,0.00195,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii|t__Lactobacillus_delbrueckii_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA|t__GCF_000185545,0,0.37867,0,0,0,0,1.02526,0,0,0,2.37268,0.61657,0,0.18283,0,0,0.36408,0.16317,0,0.05264,1.43951,0.93818,0.13461,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__Streptococcus_parasanguinis_unclassified,0.2369,0,0.29101,0.10961,1.61214,0.1923,0.0609,0,0,0.12479,0.15464,0.3914,0.32924,0.64408,0.22694,0,0.08431,0.35471,0,0.35093,0.24258,0,0.12326,0.221,1.89945
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae|t__GCF_000210055,0.02915,0,0.38447,0,0,0.05887,0,0,0,0,0.81164,0.06466,0,0.02981,0,0.00358,0.01942,0,0,0.15891,0.20499,0.12849,1.1244,0.2018,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__Actinomyces_graevenitzii_unclassified,0,0,0,0,0,0.03594,0,0,0,0,0.07664,0,0.12252,0,0,0,0,0,0,0,0,0,0,0,0.11834
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans|t__GCF_000174195,0,0,0.04,0,0,0.69858,0,0,0,0.04307,0,0.26137,0,0,0.12142,0,0,0,0,0.01452,0,1.06692,0.3468,0.11899,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_3_1_31|t__Eubacterium_sp_3_1_31_unclassified,0,0,0,0,0,1.3143,0,0,0,0,0.18186,0,0,0,0,0,0,0,0.04057,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii|t__GCF_000154445,0,0.61008,0,0.33703,0,0,0,0,0,0,0.02648,0.52284,0.06949,0,0.15401,0,0,0.02433,0,0,0,0,0.06768,0,0.07189
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei|t__Bacteroides_dorei_unclassified,0,0,0,0.06645,0,0.11815,0,0,0.23652,0,0,0,0,0,1.12041,0.27734,0,0,0.49929,0.01229,0,0,0.05493,1.20499,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA|t__GCF_000218385,0.0525,0,0,0,0,0.28347,0,0,0,0,0,0.09692,0.31616,0,0,0,0.00449,0.05014,0,0,0.87123,0.94716,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__GCF_000225345,0.04517,0.88073,0.12269,0,0,0.32407,0,0,0,4.04488,1.66705,0.66403,0,0.05206,0.1317,0.03082,0,0.01389,0,0.14554,1.82638,0.86922,2.63624,0.05675,0.86043
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii|t__Parabacteroides_johnsonii_unclassified,0,0,0,0,0,0,0,0,0,0,0,0.00397,0,0,1.04053,0.23464,0,0,0,0,0,0,0.12718,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_dolichum|t__GCF_000154285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02371,0,0,0.12472,0,0,0,0
k__Archaea,0,0,0,0,0,0,0,0,5.4595,0,0,1.11258,0,3.18283,0,0,0,0,6.37363,0.21672,0,0,0,6.00695,0.1607
k__Archaea|p__Euryarchaeota,0,0,0,0,0,0,0,0,5.4595,0,0,1.11258,0,3.18283,0,0,0,0,6.37363,0.21672,0,0,0,6.00695,0.1607
k__Bacteria|p__Verrucomicrobia,0.00957,6.05318,0,0.01102,0,0,6.96387,0.10087,68.17765,0,29.27258,0,0.01482,3.88828,0.00582,6.44391,0.02127,0.07206,60.06881,0.31519,0,0,0.79668,7.96534,2.47218
k__Archaea|p__Euryarchaeota|c__Methanobacteria,0,0,0,0,0,0,0,0,5.4595,0,0,1.11258,0,3.18283,0,0,0,0,6.37363,0.21672,0,0,0,6.00695,0.1607
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,0,0,0,0,0,0.04311,0,0,0.08058,0.08542,0,0,0,0,0.01212,0,0,0,0.12374,0,0,0,0,0,0.2647
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,0.00957,6.05318,0,0.01102,0,0,6.96387,0.10087,68.17765,0,29.27258,0,0.01482,3.88828,0.00582,6.44391,0.02127,0.07206,60.06881,0.31519,0,0,0.79668,7.96534,2.47218
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,5.22052,15.69192,54.65036,0.85348,0,13.79882,14.66339,35.1396,0.00395,0.08005,0,4.83592,73.30686,38.6295,6.39097,0,0.31675,5.34396,0,18.73916,0,6.38388,8.38896,0,1.43646
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0,0,0,0,0,0,0,0,5.4595,0,0,1.11258,0,3.18283,0,0,0,0,6.37363,0.21672,0,0,0,6.00695,0.1607
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,0,0,0,0,0,0.04311,0,0,0.08058,0.08542,0,0,0,0,0.01212,0,0,0,0.12374,0,0,0,0,0,0.2647
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,0.00957,6.05318,0,0.01102,0,0,6.96387,0.10087,68.17765,0,29.27258,0,0.01482,3.88828,0.00582,6.44391,0.02127,0.07206,60.06881,0.31519,0,0,0.79668,7.96534,2.47218
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,5.22052,15.69192,54.65036,0.85348,0,13.79882,14.66339,35.1396,0.00395,0.08005,0,4.83592,73.30686,38.6295,6.39097,0,0.31675,5.34396,0,18.73916,0,6.38388,8.38896,0,1.43646
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0,0,0,0,0,0,0,0,5.4595,0,0,1.11258,0,3.18283,0,0,0,0,6.37363,0.21672,0,0,0,6.00695,0.1607
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,0,0,0,0,0,0.04311,0,0,0.08058,0.08542,0,0,0,0,0.01212,0,0,0,0.12374,0,0,0,0,0,0.2647
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,0.00957,6.05318,0,0.01102,0,0,6.96387,0.10087,68.17765,0,29.27258,0,0.01482,3.88828,0.00582,6.44391,0.02127,0.07206,60.06881,0.31519,0,0,0.79668,7.96534,2.47218
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae,0,0,0,0,0,1.45047,0,0,0,0,0,0,0,0.05902,0,0.26184,0,0,0,0.03082,0,0.14658,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,5.22052,15.69192,54.65036,0.85348,0,13.79882,14.66339,35.1396,0.00395,0.08005,0,4.83592,73.30686,38.6295,6.39097,0,0.31675,5.34396,0,18.73916,0,6.38388,8.38896,0,1.43646
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,0,0,0,0,0,0,0,0,5.4595,0,0,1.11258,0,3.18283,0,0,0,0,6.37363,0.21672,0,0,0,6.00695,0.1607
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia,0,0,0,0,0,0,0,0,0,0,0,0.30157,0,0,0,0,5.59811,0,0.03426,0,0,0,0.47256,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio,0,0,0,0,0,0,0,0,0.08058,0,0,0,0,0,0,0,0,0,0.12374,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila,0,0,0,0,0,0.04311,0,0,0,0.08542,0,0,0,0,0.01212,0,0,0,0,0,0,0,0,0,0.2647
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia,0.00957,6.05318,0,0.01102,0,0,6.96387,0.10087,68.17765,0,29.27258,0,0.01482,3.88828,0.00582,6.44391,0.02127,0.07206,60.06881,0.31519,0,0,0.79668,7.96534,2.47218
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter,0,0.12834,0,0,0,0,0,0,0,0,0,0.89999,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus,0,0,0,0,0,1.45047,0,0,0,0,0,0,0,0.05902,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,0,0,0,0,0,0,8.01288,0,0,0,0,0,73.29136,20.77495,4.48595,0,0,0,0,0,0,0,0,0,0.00269
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,4.47316,15.69192,20.16186,0.83056,0,10.68177,6.65052,27.73966,0.00395,0.01748,0,4.83592,0,17.85455,1.90502,0,0.31675,3.47566,0,7.59713,0,0,7.77493,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,0,0,0,0,0,0,0,0,3.4616,0,0,0.49758,0,1.62685,0,0,0,0,3.21352,0.12595,0,0,0,3.48127,0.11418
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,0,0,0,0,0,0,0,0,1.9979,0,0,0.615,0,1.55598,0,0,0,0,3.16011,0.09076,0,0,0,2.52568,0.04652
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0.74736,0,34.4885,0,0,3.10316,0,2.82783,0,0,0,0,0,0,0,0,0,0.90419,0,11.10433,0,6.38388,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83125,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis,0,0,0,0,0,0,0,0,0,0,0,0.30157,0,0,0,0,5.59811,0,0.03426,0,0,0,0.47256,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10972,0.14761,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus,0,0.496,0,0,0,0,0,0,0,0,0,1.26973,0,0,0.39327,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans,0,0,0,0,0,0,0,0,0.08058,0,0,0,0,0,0,0,0,0,0.12374,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae,0,0,0,0.41049,0,0.19757,0,0,0,6.28371,0.34294,0,0,0,0,0,0,0,0.0058,0,0.87144,0,0,0.04347,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified,0,0,0,0,0,0.04311,0,0,0,0.08542,0,0,0,0,0.01212,0,0,0,0,0,0,0,0,0,0.2647
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila,0.00957,6.05318,0,0.01102,0,0,6.96387,0.10087,68.17765,0,29.27258,0,0.01482,3.88828,0.00582,6.44391,0.02127,0.07206,60.06881,0.31519,0,0,0.79668,7.96534,2.47218
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,0,0,0.14461,3.3342,0,0.04829,0.20962,0,0,0,0.12859,0.4356,0,1.02124,0.11733,0.1574,0,0.00303,0,0,0,0,0,0.11009,0.01913
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum,0,0,0.09117,0,0,0,0,0,0,0.03338,0.11871,0.18954,0,0,0.02076,1.22501,0,0,0,0.15109,0.04235,0.07262,0.04631,0,0.24078
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified,0,0.12834,0,0,0,0,0,0,0,0,0,0.85435,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_unclassified,0,0,0,0,0,0.99532,0,0,0,0,0,0,0,0.05902,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified,0,0,0,0,0,0,8.01288,0,0,0,0,0,73.29136,20.77495,4.48595,0,0,0,0,0,0,0,0,0,0.00269
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified,4.47316,15.69192,20.16186,0.83056,0,10.68177,6.65052,27.73966,0.00395,0.01748,0,4.83592,0,17.85455,1.90502,0,0.31675,3.47566,0,7.59713,0,0,7.77493,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified,0,0,0,0,0,0,0,0,3.4616,0,0,0.49758,0,1.62685,0,0,0,0,3.21352,0.12595,0,0,0,3.48127,0.11418
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435,0.74736,0,34.4885,0,0,3.10316,0,2.82783,0,0,0,0,0,0,0,0,0,0.90419,0,11.10433,0,6.38388,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis|t__GCF_000210095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei|t__GCF_000225705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83125,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis|t__GCF_000296445,0,0,0,0,0,0,0,0,0,0,0,0.30157,0,0,0,0,5.59811,0,0.03426,0,0,0,0.47256,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis|t__GCF_000156175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10972,0.14761,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus|t__GCF_000468015,0,0.496,0,0,0,0,0,0,0,0,0,1.26973,0,0,0.39327,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans|t__Desulfovibrio_desulfuricans_unclassified,0,0,0,0,0,0,0,0,0.08058,0,0,0,0,0,0,0,0,0,0.12374,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__Parabacteroides_merdae_unclassified,0,0,0,0.41049,0,0.19757,0,0,0,6.28371,0.34294,0,0,0,0,0,0,0,0.0058,0,0.87144,0,0,0.04347,0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225,0.00957,6.05318,0,0.01102,0,0,6.96387,0.10087,68.17765,0,29.27258,0,0.01482,3.88828,0.00582,6.44391,0.02127,0.07206,60.06881,0.31519,0,0,0.79668,7.96534,2.47218
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__GCF_000154465,0,0,0.14461,3.3342,0,0.04829,0.20962,0,0,0,0.12859,0.4356,0,1.02124,0.11733,0.1574,0,0.00303,0,0,0,0,0,0.11009,0.01913
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum|t__GCF_000154345,0,0,0.09117,0,0,0,0,0,0,0.03338,0.11871,0.18954,0,0,0.02076,1.22501,0,0,0,0.15109,0.04235,0.07262,0.04631,0,0.24078
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0,0,0.03741,0,0,0,0,0,0,26.24276,0,0,0,0,0,0,0,0,0,0.05204,0,0,0,0.13467,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae,0.01563,0,0.04517,0,0.19567,0,0,0,0,0,0,0.03867,0.0331,0,0,0,0,0.13583,0,0.22508,0,0,0,0.03116,0.17496
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,0,0,0,0,0,0,0,0,0,26.24276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13467,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24034,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
