sample,LiJ_2014.metaphlan_bugs_list.stool:DLF005-IE,LiJ_2014.metaphlan_bugs_list.stool:DLM006-IE,LiJ_2014.metaphlan_bugs_list.stool:DOM005-IE,LiJ_2014.metaphlan_bugs_list.stool:DOM017-IE,LiJ_2014.metaphlan_bugs_list.stool:NLF002-IE,LiJ_2014.metaphlan_bugs_list.stool:NLF009-IE,LiJ_2014.metaphlan_bugs_list.stool:NLM009-IE,LiJ_2014.metaphlan_bugs_list.stool:NLM025-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF002-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF007-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF013-IE
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname,0.06775,0.06203,0,0,0,0.35376,0.05074,0.00533,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.05942,0,0.00965,0,0.04599,0.03899,0.05355,0,0.03722,0,0.00518
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,0.04769,0.07382,0.22355,0.04228,0.23831,0.00997,0,0.95368,0.00194,0.11755,0.45985
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae,0.04676,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.02335,0.34861,4.74986,0.99168,1.36117,1.2851,0,0,1.04473,1.1953,0.75286
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,0.02243,0.06914,0,0.10748,0,0.15287,0.04359,1.96882,0,0.10546,0.15771
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname,0.01714,0,0,0,0,0,0,0.01,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname,0.01591,0.02728,0.27604,0.06961,0.01218,0.02174,0,0,1.01238,0.46169,0.12037
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,38.11785,14.67588,43.29988,51.00812,53.8935,43.9497,1.93883,6.39505,62.34923,48.73489,48.06812
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium,13.81211,55.81459,3.63446,16.95915,0.70053,5.33631,1.74097,6.74615,2.50901,2.00206,0.05592
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,9.9891,4.90319,1.17691,3.01765,19.69337,16.22967,7.72863,11.25628,8.73649,9.29092,9.5048
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,7.69537,1.52753,0.45207,1.02599,0.75301,2.81419,0.35265,2.04516,0.2973,6.22245,7.68725
