sample,VatanenT_2016.metaphlan_bugs_list.stool:G69178,VatanenT_2016.metaphlan_bugs_list.stool:G69225,VatanenT_2016.metaphlan_bugs_list.stool:G78489,VatanenT_2016.metaphlan_bugs_list.stool:G78490,VatanenT_2016.metaphlan_bugs_list.stool:G78494,VatanenT_2016.metaphlan_bugs_list.stool:G78599,VatanenT_2016.metaphlan_bugs_list.stool:G78600,VatanenT_2016.metaphlan_bugs_list.stool:G78624,VatanenT_2016.metaphlan_bugs_list.stool:G78653,VatanenT_2016.metaphlan_bugs_list.stool:G78654,VatanenT_2016.metaphlan_bugs_list.stool:G78655,VatanenT_2016.metaphlan_bugs_list.stool:G78687,VatanenT_2016.metaphlan_bugs_list.stool:G78803,VatanenT_2016.metaphlan_bugs_list.stool:G78804,VatanenT_2016.metaphlan_bugs_list.stool:G78805,VatanenT_2016.metaphlan_bugs_list.stool:G78806,VatanenT_2016.metaphlan_bugs_list.stool:G78823,VatanenT_2016.metaphlan_bugs_list.stool:G78854,VatanenT_2016.metaphlan_bugs_list.stool:G78856,VatanenT_2016.metaphlan_bugs_list.stool:G78857,VatanenT_2016.metaphlan_bugs_list.stool:G78858,VatanenT_2016.metaphlan_bugs_list.stool:G78870,VatanenT_2016.metaphlan_bugs_list.stool:G78871,VatanenT_2016.metaphlan_bugs_list.stool:G80268,VatanenT_2016.metaphlan_bugs_list.stool:G80274,VatanenT_2016.metaphlan_bugs_list.stool:G80288,VatanenT_2016.metaphlan_bugs_list.stool:G80296,VatanenT_2016.metaphlan_bugs_list.stool:G80297,VatanenT_2016.metaphlan_bugs_list.stool:G80312,VatanenT_2016.metaphlan_bugs_list.stool:G80318,VatanenT_2016.metaphlan_bugs_list.stool:G80322,VatanenT_2016.metaphlan_bugs_list.stool:G80347,VatanenT_2016.metaphlan_bugs_list.stool:G80387,VatanenT_2016.metaphlan_bugs_list.stool:G80420,VatanenT_2016.metaphlan_bugs_list.stool:G80424
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01202,0.01661,0,0,0,0,0,0,0.01093,0,0,0,0,0,0,0,0,0.01594,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,0.16813,0.06139,0.00882,0,0.01758,0.00787,0.01433,0,0.00235,0.21171,1.89477,0.07966,0.04739,0.03754,0.27794,0.86113,0.3247,0.07446,0.01349,0.05213,0.00768,0.0373,0.07907,0,0.07239,0.02091,0.04363,0.15669,0,0.04689,2.1399,0.07267,0.01253,0.0308,0.03499
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,0.013,0.36293,0.44709,0.48044,0.0745,0.02512,0.00449,2.22744,1.89239,0.01676,0.00289,3.5487,0.02008,0.05582,0.00832,0.05246,0.03164,0.39198,0.13728,0.82754,1.00214,1.14965,6.19564,3.75632,1.74883,0.42434,1.76205,0.2823,0.01092,0.64117,16.14952,1.03455,4.01401,1.80091,0.04106
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.05543,0.58103,0.0124,2.46712,0.09245,0.14534,0,0.0137,0,0.08588,0.33506,2.65726,0.05153,0.4776,0.01202,0.44807,1.07813,0.08401,0.04215,0.05383,0.04276,0.04528,0.13844,0.39163,0.80146,0.4639,0.09283,0.26646,0.78678,0,0.11214,2.18432,0.02162,0.02852,0.08604
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,0.10914,13.76058,0.47931,0.05937,0.65564,5.78721,5.00779,2.00561,0.61881,0.05044,0.00777,0.01185,0.04119,0,0.01179,2.66914,1.51149,0.09828,1.16044,0.02516,0.00844,0.04318,1.87202,0,4.86442,5.86889,22.691,0,0.00299,2.66451,9.77496,8.95269,0.0719,0.10081,0.71597
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,83.40787,13.46012,30.57128,37.15996,50.87969,42.05316,56.80827,48.06352,47.0906,74.42681,42.50257,25.85635,45.85984,51.06292,52.10458,38.04163,30.87233,18.47135,28.80815,38.35514,29.70542,4.09582,13.98569,3.85204,16.51157,63.67002,49.56757,66.18503,0.0017,53.21784,13.72856,17.65714,43.50449,29.97453,57.40024
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae,0,0,0.06132,0,0,0,0,0,0,0,0.03051,0,0.85382,0.08467,0,0.03536,0,0.18138,0.10774,0,0.01752,0.3788,0,1.85422,0.08557,0.02806,0.01772,6.69132,63.30728,0,0.22543,0,0.01279,0.00685,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.56551,9.14119,0.72673,1.36244,0.52532,3.57992,1.06437,3.48909,1.55712,3.37986,4.16744,4.8012,2.11161,1.27682,1.34672,1.33003,3.21008,0.43238,14.60163,14.29031,4.934,5.80344,14.52128,6.91765,9.34714,1.1092,1.1387,2.19194,28.53652,1.34009,4.56198,3.43703,13.61401,3.34158,1.56302
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,3.34065,24.9939,10.86748,4.25462,4.54073,1.46787,7.2433,9.34236,5.27554,3.50351,14.20967,20.29252,6.69354,2.57833,3.69821,5.68217,4.21025,4.30064,2.8017,5.59847,5.5666,7.25995,1.82275,3.85576,32.34881,1.01639,7.59128,2.09173,0.02963,6.95244,7.38771,12.65667,2.1152,11.35691,1.95503
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,3.48975,24.04306,18.06725,9.47843,12.30405,5.74731,9.53506,10.34176,12.23093,6.77328,13.05823,9.32461,9.85884,21.11144,11.39462,7.73163,31.41774,4.49779,14.19512,12.6284,12.06419,4.509,6.44086,33.93088,11.01329,1.75263,7.48458,6.61165,0.05733,17.05069,11.18982,23.48749,10.04409,12.66621,17.76633
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,0,3.501,24.45824,4.55597,4.52318,0.90595,3.00719,10.66833,5.32556,7.049,17.81806,0.17277,5.76809,4.35612,2.1046,0.00353,3.2854,1.35149,7.50633,9.74521,10.17108,1.32372,0.33519,11.96384,1.72029,0.40028,4.56291,2.86033,0.00077,4.05242,6.16763,25.66606,8.8507,15.19883,7.95825
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.13362,0.4174,0,0.09274,0,0.09586,0.31121,0.12128,0.14149,0,1.24826,0.37354,0.03033,0.01277,0.02341,0.72272,0.64191,0.15982,0.80419,0.53873,0.32543,0.13498,0.05902,2.46324,0.03883,0,0.42695,0.15832,0.12401,0.02052,0.091,2.12524,0.10617,0.01407,0.00446
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0,0.04203,5.02464,9.82433,15.23831,11.75991,3.29857,4.33342,8.72308,0.03937,0.04902,10.71764,12.62088,11.13647,6.22974,33.97105,4.18814,4.14665,6.41582,8.00167,11.06608,0.93207,7.34368,0.19991,2.88892,1.46727,0.00328,7.71342,1.71826,0.00342,2.73727,0.44107,4.51953,12.20858,6.09794
