sample,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO01,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO02,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO03,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO04,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO05,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO06,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO08,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO09,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO10,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO11,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO12,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO13,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO14,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO15,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO16,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO17,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO18,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO19,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO20,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO21,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO22,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO23
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,0,2.00755,0.11065,0.03764,2.18645,0.42783,0.19543,0.00289,0.00281,0.80599,26.61772,3.11201,5.32899,1.18072,3.77744,0.02721,0.07713,8.72964,10.76117,2.17321,7.79261,0.10364
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,0,1.73902,0.53131,0,0.16238,1.95393,0.75265,0,0,1.78879,3.45524,0.00246,5.6696,0.26536,0.00017,0,0.00137,0,0,0.84265,0,4.28481
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,0,1.07425,1.28653,0.03154,0.40619,2.24394,0.11721,0,0,0.17899,0,5.07008,2.08971,2.76523,4.63428,0.03559,0.07757,0.02488,10.0716,0,1.27425,2.42134
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_JC304,0,0.24102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,0,0.22994,0.26612,0.80801,0.15066,0.00663,0.01581,0.68402,0.00024,0.06778,11.25518,0.11682,0.02187,0.11955,1.35439,0.00918,0.00776,2.21381,3.04623,0.9902,0.3399,0.60697
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_spiroforme,0,0.22263,0,0,0.29639,0.20953,0,0.36647,0.33682,0.24721,0,0,0,0,0.35716,0.23852,0,0,0,0.49755,0.37633,0.12417
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,0,0.21353,0,0,0,0,0,0,0.00438,0,0.06113,0,0,0,0,0,0.01254,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,0,0.15447,0.14735,0.02069,0.15065,0.09549,0.02971,0,0,0.21834,0,0.02055,0.01338,0.02877,0.00022,0.12702,0.04287,0.00141,0.00883,0.22909,0.0405,0.04148
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,0,0.08123,0.0131,0.2767,0.26147,0,0.00286,0,0,0,0,0.37475,0.0661,0.06859,0.38055,5.00E-04,0,0.05853,0.89222,0.1474,0.0499,0.11469
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus,0,0.07729,0.26893,0.24942,0,0,0,0,0,0,0,0.61147,0.16787,0,0.06959,0,0,0,0.54128,0,0.08568,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,0,0.06405,1.06652,0.20011,0,0,0.12566,0,0,0,1.14458,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,0,0.06297,0.05277,0.15401,0.00574,0,0.00693,0,0,0,1.22655,6.95761,0.00091,1.22805,1.02475,0,0,0,0.44266,0.03422,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,0,0.05306,0.67097,0.05025,0.26788,0.01819,0.0028,0,0,0.01662,1.64062,0.06172,0.33942,0.00924,0.47269,0,0,0.00033,0.27176,0.03519,0.103,0.6126
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii,0,0.04949,0.61331,1.0488,0.09634,0,0.00741,0,0,0.12085,0,0.21998,0.73599,0.07032,0.09211,0.00939,0.04432,0.3499,0,0.43387,1.19317,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis,0,0.04219,0.01575,0,0.18323,0,0,0,0,0,0,0,0,0,0,0,0.00142,0,9.45086,0,0,0.07079
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,0,0.02177,0.00268,0.00438,0.09954,0.00962,1.00E-04,0.00648,0.05108,0.03313,0.00668,0,0.01169,0.01083,0,0.00192,0.03089,0.00629,0,0.0122,0.00058,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,0,0.01709,0.06688,0,0.12524,0,0.00299,0,0,0.22131,0,0,0.10529,0.07686,0.32482,6.00E-04,0.01346,0,5.86282,0.45366,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis,0,0.00976,0,0.02393,0.04139,0.06705,0.02229,0,0.25152,0.02823,0.05291,0,0.01916,0.08681,0.00372,0,0,0.05994,0.01449,0.07595,0.04066,0.034
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_variabile,0,0.00881,0.00263,0.00929,0.00698,0,0.00034,0.00618,0,0,0,0,0.00174,0.00301,0.00256,0.00141,0,0.00378,0,0,6.00E-04,0.00354
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum,0,0.00828,0.0447,0.33058,1.26852,0.36749,0.04437,0.22809,0,1.13201,0.11303,0.01847,0.031,0.03932,0.0223,0.69308,2.72936,0.51768,0.13963,0.73332,0.17312,0.22481
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii,0,0.00745,0,0,0,0,0,0,0.00072,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_unclassified,0,0.00554,0.00673,0.01587,0.00616,0,0,0,0.00574,0,0,0,0.00626,0,0,0.01663,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,0,0.0053,0.02296,0.14593,0.00224,0,0.0021,0.34744,0,0.01246,0,0.03262,0.03583,0,0.18096,0.00459,0.03016,0.26029,0.02258,0.02567,0.84787,0.30118
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_albus,0,0.00496,0.00069,0,0,0,0.00554,0.00954,0.00846,0.0044,0,0,0,0.00339,0,0.00544,0.00833,0.03789,0,0,0.02534,0.03721
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis,0,0.00347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,0,0.00313,8.00E-04,0.00815,0.01157,0.04904,0,0.45862,0.15002,0.06863,0.22685,0,0.05683,0.00219,0.00822,0.03927,0.0993,0.12315,0.00777,0.1164,0.02427,0.00467
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,0,0.00292,0,0,0.00843,0.02226,0.02779,0.05445,0.11857,0.03893,0.05561,0,0.01105,0.05868,0.03656,0.03328,0.01864,0,0.00175,0.02975,0.01833,0.00848
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,0,0.00201,0.08878,0,5.2472,0.00765,0.19301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_cylindroides,0,0.00172,0,0,0,0,1.83781,0,0,0,0,0,0,0,0.01092,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,0,0.00058,0.12556,0,0,0,0,0,0,0.02658,0,0.01743,0.01661,0.20377,0.0175,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16,0,0.00052,0,0,0.00439,3.84558,0.44175,0,0.00551,0.00246,0.00042,0,0,1.31403,0,0,0.00054,0,0.0409,0.01464,0.16304,0.00676
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified,0,7.23293,0.56248,0.08157,3.0291,0.0533,0.34733,6.05088,18.4819,2.05899,0.26255,0.44165,7.63357,0.58134,0.35165,1.77457,1.50308,0.01855,2.40422,7.29766,1.78969,0.00443
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified,0,2.00755,0.11065,0.03764,2.18645,0.42783,0.19543,0.00289,0.00281,0.80599,26.61772,3.11201,5.32899,1.18072,3.77744,0.02721,0.07713,8.72964,10.76117,2.17321,7.79261,0.10364
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__Bacteroides_stercoris_unclassified,0,1.73902,0.53131,0,0.16238,1.95393,0.75265,0,0,1.78879,3.45524,0.00246,5.6696,0.26536,0.00017,0,0.00137,0,0,0.84265,0,4.28481
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__GCF_000154465,0,1.07425,1.28653,0.03154,0.40619,2.24394,0.11721,0,0,0.17899,0,5.07008,2.08971,2.76523,4.63428,0.03559,0.07757,0.02488,10.0716,0,1.27425,2.42134
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__GCF_000210035,0,0.95587,0,3.94713,0,0,0.24425,7.99322,0,0,0,0,0,0,0.5101,1.65492,1.73574,0,0.47064,2.04206,2.05422,0.80048
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__GCF_000166035,0,0.77529,2.66864,4.83494,0,0,1.35668,14.00434,0,5.45645,0,2.85227,6.95978,0.31752,0.73252,0.38186,0.64035,2.32679,4.1334,1.52816,0.7943,0.62467
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum|t__GCF_000153905,0,0.42184,0,0,0,0,0.43069,0,0,0,0,0,0,0,0.68685,0.1719,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_JC304|t__GCF_000285855,0,0.24102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__Bacteroides_ovatus_unclassified,0,0.22994,0.26612,0.80801,0.15066,0.00663,0.01581,0.68402,0.00024,0.06778,11.25518,0.11682,0.02187,0.11955,1.35439,0.00918,0.00776,2.21381,3.04623,0.9902,0.3399,0.60697
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_spiroforme|t__GCF_000154805,0,0.22263,0,0,0.29639,0.20953,0,0.36647,0.33682,0.24721,0,0,0,0,0.35716,0.23852,0,0,0,0.49755,0.37633,0.12417
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified,0,0.21353,0,0,0,0,0,0,0.00438,0,0.06113,0,0,0,0,0,0.01254,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens|t__GCF_000478885,0,0.15447,0.14735,0.02069,0.15065,0.09549,0.02971,0,0,0.21834,0,0.02055,0.01338,0.02877,0.00022,0.12702,0.04287,0.00141,0.00883,0.22909,0.0405,0.04148
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__Bacteroides_thetaiotaomicron_unclassified,0,0.08123,0.0131,0.2767,0.26147,0,0.00286,0,0,0,0,0.37475,0.0661,0.06859,0.38055,5.00E-04,0,0.05853,0.89222,0.1474,0.0499,0.11469
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__GCF_000190535,0,0.07729,0.26893,0.24942,0,0,0,0,0,0,0,0.61147,0.16787,0,0.06959,0,0,0,0.54128,0,0.08568,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis|t__Bacteroides_massiliensis_unclassified,0,0.06405,1.06652,0.20011,0,0,0.12566,0,0,0,1.14458,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus|t__Bacteroides_cellulosilyticus_unclassified,0,0.06297,0.05277,0.15401,0.00574,0,0.00693,0,0,0,1.22655,6.95761,0.00091,1.22805,1.02475,0,0,0,0.44266,0.03422,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii|t__GCF_000265365,0,0.05306,0.67097,0.05025,0.26788,0.01819,0.0028,0,0,0.01662,1.64062,0.06172,0.33942,0.00924,0.47269,0,0,0.00033,0.27176,0.03519,0.103,0.6126
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii|t__GCF_000374505,0,0.04949,0.61331,1.0488,0.09634,0,0.00741,0,0,0.12085,0,0.21998,0.73599,0.07032,0.09211,0.00939,0.04432,0.3499,0,0.43387,1.19317,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis|t__Sutterella_wadsworthensis_unclassified,0,0.04219,0.01575,0,0.18323,0,0,0,0,0,0,0,0,0,0,0,0.00142,0,9.45086,0,0,0.07079
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1|t__GCF_000218405,0,0.02177,0.00268,0.00438,0.09954,0.00962,1.00E-04,0.00648,0.05108,0.03313,0.00668,0,0.01169,0.01083,0,0.00192,0.03089,0.00629,0,0.0122,0.00058,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii|t__Bacteroides_finegoldii_unclassified,0,0.01709,0.06688,0,0.12524,0,0.00299,0,0,0.02425,0,0,0.10529,0.07686,0.32482,6.00E-04,0.01346,0,5.86282,0.45366,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis|t__GCF_000157995,0,0.00976,0,0.02393,0.04139,0.06705,0.02229,0,0.25152,0.02823,0.05291,0,0.01916,0.08681,0.00372,0,0,0.05994,0.01449,0.07595,0.04066,0.034
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_variabile|t__GCF_000157955,0,0.00881,0.00263,0.00929,0.00698,0,0.00034,0.00618,0,0,0,0,0.00174,0.00301,0.00256,0.00141,0,0.00378,0,0,6.00E-04,0.00354
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum|t__GCF_000154345,0,0.00828,0.0447,0.33058,1.26852,0.36749,0.04437,0.22809,0,1.13201,0.11303,0.01847,0.031,0.03932,0.0223,0.69308,2.72936,0.51768,0.13963,0.73332,0.17312,0.22481
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii|t__Lactobacillus_delbrueckii_unclassified,0,0.00745,0,0,0,0,0,0,0.00072,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__Bacteroides_xylanisolvens_unclassified,0,0.0053,0.02296,0.14593,0.00224,0,0.0021,0.34744,0,0.01246,0,0.03262,0.03583,0,0.18096,0.00459,0.03016,0.26029,0.02258,0.02567,0.84787,0.30118
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_albus|t__Ruminococcus_albus_unclassified,0,0.00496,0.00069,0,0,0,0.00554,0.00954,0.00846,0.0044,0,0,0,0.00339,0,0.00544,0.00833,0.03789,0,0,0.02534,0.03721
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__Enterococcus_faecalis_unclassified,0,0.00347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae|t__GCF_000210055,0,0.00292,0,0,0.00843,0.02226,0.02779,0.05445,0.11857,0.03893,0.05561,0,0.01105,0.05868,0.03656,0.03328,0.01864,0,0.00175,0.02975,0.01833,0.00848
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii|t__Bacteroides_eggerthii_unclassified,0,0.00201,0.08878,0,5.2472,0.00765,0.19301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_cylindroides|t__GCF_000469305,0,0.00172,0,0,0,0,1.83781,0,0,0,0,0,0,0,0.01092,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii|t__Parabacteroides_goldsteinii_unclassified,0,0.00058,0.12556,0,0,0,0,0,0,0.02658,0,0.01743,0.01661,0.20377,0.0175,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16|t__GCF_000177015,0,0.00052,0,0,0.00439,3.84558,0.44175,0,0.00551,0.00246,0.00042,0,0,1.31403,0,0,0.00054,0,0.0409,0.01464,0.16304,0.00676
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname,0,0,0.07333,0.05156,0.03783,0.01764,0.001,0,0,0,0,0,0.27589,1.48267,1.0869,0,0,0,0,0,0.27576,0.46347
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas,0,0,0.49935,0,0.0027,29.4865,12.70739,0.00224,0.00381,0,0.00231,0.00165,0,0.00516,0,0.21494,0.52943,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella,0,0,0.16284,0,0.11513,0.72171,0,0,0,0,0,5.98404,0.78423,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname,0,0,0.07333,0.05156,0.03783,0.01764,0.001,0,0,0,0,0,0.27589,1.48267,1.0869,0,0,0,0,0,0.27576,0.46347
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname,0,0,0.0418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella,0,0,0.03358,0.08603,1.35252,0.23835,0,0,0,0,0,0,0.38405,0.52463,0.60207,0.02778,0.0169,0,0,0,0.32671,1.19576
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Mulikevirus,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila,0,0,0.01547,0.0892,0.08696,0.46537,0.04447,0,0,0.14265,0.93368,0.11181,0.0877,0.71334,0.34955,0.00034,0.00209,0.7169,0,0.25249,0.25585,0.46925
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified,0,0,0.00183,0,0.00757,0.0042,0.04635,0,0,0.0112,0,0.00693,0,0,0,0,0,0,0,0,0,0.00193
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium,0,0,0.00134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor,0,0,0.00089,0.00186,0.01142,0.00196,0.0037,0,0.00532,0.00349,0.00105,0,0.00074,0.00881,0,0,0,0.0275,0.00194,0.02702,0.06801,0.02115
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus,0,0,1.40851,0.01188,0.05759,0,0,0,0,0.01343,0,0.01076,0.00126,0.04924,0.05607,0,0,0.20706,0,0,0.04096,1.17134
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_unclassified,0,0,0.2928,0,0.0027,23.26432,6.76534,0.00224,0.00381,0,0.00231,0.00165,0,0.00516,0,0.05839,0.20412,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_2_5,0,0,0.22114,0,8.90282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_rupellensis,0,0,0.20095,0,0,4.22056,0,0,0,0,0,0,0,0,0,0.00421,0.01582,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified,0,0,0.11334,0,0.08104,0.359,0,0,0,0,0,1.0429,0.29385,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8,0,0,0.07333,0.05156,0.03783,0.01764,0.001,0,0,0,0,0,0.27589,1.48267,1.0869,0,0,0,0,0,0.27576,0.46347
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0,0,0.06379,0,0.85893,0,0.06114,0,2.84359,0,0,0,0.91845,0.43715,0,0.30836,0.08383,0,0,0,0.05698,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara,0,0,0.04497,0,0.03293,0.31446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_phI,0,0,0.0418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
