sample,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO01,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO02,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO03,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO04,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO05,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO06,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO08,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO09,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO10,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO11,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO12,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO13,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO14,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO15,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO16,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO17,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO18,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO19,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO20,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO21,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO22,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO23
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,2.96867,12.23981,14.23963,20.26306,4.17555,7.84586,7.01518,20.4739,33.68055,11.84773,6.37617,12.65954,4.30766,7.50076,11.3257,6.43957,32.94024,13.25879,12.35388,13.4634,5.3437,3.59588
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0,3.09731,1.32286,0.95281,0.00194,0,0.2076,0,0,0,0,2.54114,0,0,1.25926,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,0,1.36271,1.22452,4.67965,2.09832,6.00258,1.33449,0.6935,0.80496,1.64557,0.87142,0.06683,0.08509,8.71409,0.78308,2.55672,0.38218,0.13081,1.18142,0.37569,0.79492,0.95378
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,0.22711,24.12468,8.05315,4.23104,21.46425,15.56841,4.55811,18.16474,8.79848,6.94666,0.02264,4.48282,5.96202,7.73155,10.56136,11.91938,12.19539,12.01306,4.57895,10.0611,22.92496,2.47645
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,0.00495,0.00883,3.54177,1.40427,0.00291,0.00275,0,0.00788,0.00241,0.00211,0,0.00036,0,0,0,0,0,0.04708,0,0.02066,0,0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,1.4063,15.61831,21.94397,2.48893,14.57264,0.52855,5.82061,6.05088,21.70114,3.82178,0.35745,1.03758,9.83275,1.01848,0.4475,2.09588,1.59945,0.01855,2.46525,20.3373,1.85937,0.83103
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae,0,0,0.00183,7.35501,0.02085,0.0042,0.69479,0,0,0.64414,0,0.00693,0,0.0047,1.21992,0,0,0,0,0,0,0.00193
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae,0,0,0,0,0.00213,0,0.02045,0,0.3054,0.00757,0.01149,0.30838,0,0,0,0,0,0,0,0,0,0.00272
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,9.32841,0.00807,0.56221,1.76161,0.01664,30.22732,16.65405,3.18935,0.066,19.4525,4.95471,0.03732,5.19857,0.2362,0.02172,0.78536,0.56722,8.41187,0.09779,0.00167,3.41973,0.01532
