sample,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ03H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ16H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ17H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ18H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ21H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ24H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ34H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ37H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ45H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ46H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ57H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ60H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ63H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ65H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ67H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ68H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ69H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ73H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ74H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ75H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ77H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ78H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ79H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ80H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ81H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ82H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ83H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ84H_17
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus,0,0.02378,0,0,0,0,0,0,0,0,0,0,0,0,0.01186,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces,0,0.01879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname_unclassified,0,0.00204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella,0.00251,0.00098,0,0,0.05265,0.71721,0.03519,0.13409,0.02517,3.42064,0,0.02634,0.0405,0.03717,0.01269,0,0.02563,0.07077,0.04607,0.02221,0.06856,0.00078,0.00018,0,0,0.02062,0.22721,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_sp_ART55_1,0,4.42098,0,0,12.53904,8.06377,0,0,0,0,0,0,0,0,0,0.34117,0,3.92342,0,0,0,0,0,0,0,0,0.26515,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22,0,0.84959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,0.00069,0.26945,0,2.17673,0.40281,0.10515,0,0,0.00102,0.03984,0,0.27721,0.07308,0.03609,0,0,2.23722,0,0.00596,0.18434,0,0,0,0.4034,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger,0,0.06111,0,0.35398,0,0,0,0,0,0,0,0.05309,0,0,0,0.03152,0.06089,0,0,0,0,0,0,0,0,0,0,0.08202
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella|s__Mitsuokella_multacida,0,0.04607,0,0,0,0,0,0.82265,0,0,0,0,0,0.04957,0.03734,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei,0,0.03181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3764,0,0,0,0,0,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus|s__C2likevirus_unclassified,0,0.02378,0,0,0,0,0,0,0,0,0,0,0,0,0.01186,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_cylindroides,0,0.02024,0,0,0,0.00459,0,0,0,0,0,0,0.08099,0,0.1371,0,0,0,0.00664,0,0,0,0,0,0,0,0,0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae,0,0.01879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_curvatus,0,0.01418,0,0,0,0,0,0,0.00054,0.04598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae,0.0462,0.0141,0,1.54238,0,0,0,0,0.44535,0,0,0,0.27028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae,0.02836,0.01335,0.02131,0,0,0,0.00375,0,0,0.0705,0,0.06864,0.00869,0.02445,0,0,0.02517,0.02519,0.00177,0,0,0.01267,0.00132,0.00151,0.00455,0,0.00669,0.00598
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified,0,0.00893,0,0,0.24512,0,0.00245,0.06192,0.03693,0.00279,0,0.00225,0,0.01034,0.1196,0.15432,0,0.2216,0,0.03936,0,0.01882,0,0,0.02832,0,0.00875,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta,0.1193,0.00458,0.02954,0,0.00055,0,0.00061,0,0.00064,0,0,0.0309,0.0909,0,0,0.00589,0.04325,0.00155,0.00318,0.03967,0,0.00137,0.05033,0.01012,0.03023,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_versmoldensis,0,0.00399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_sanguinis,0.00841,0.00292,0.00074,0,0,0.01861,0,0,0.00271,0.02774,0,0.02151,0.00689,0.02273,0,0,0,0.00373,0.00328,0.0329,0,0.00246,0,0,0.00348,0,0.00686,6.00E-04
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_brachy,5.00E-04,0.00267,0.00229,0,0,0,0,0,0,0.01723,0,0,0.00685,0.00651,0.00489,0,0,0,0,0.00129,0,0,0,0.00112,0.00102,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_intermedius,0,0.00217,0.0118,0,0,0,0,0,0,0.00606,0,0.01039,0.00777,0.00126,0,0,0,0,0,0,0,0,0,0,0.00323,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens,0,0.00207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037,0,0,0,0,0,0,0.00073,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii,0,0.0019,0.00538,0,0,0,0,0,0,0,0,0,0.00069,0,0,0.00101,0,0,0,0,0,0,0,0.00041,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,0,0.00098,0,0,0.04519,0.07385,0.01706,0.01889,0.00192,1.14224,0,0.01471,0.03895,0.01474,0.00968,0,0.00492,0.01532,0.00723,0.01784,0.00859,0,0,0,0,0.0035,0.02378,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_sanfranciscensis,0,0.00077,0,0.00336,0,0,0,0,0,0,0,0,0,2.00E-04,0,0.02632,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii,0,0.00044,0.00314,0,0,0,0,0,0,0,0,0,0,0,0.00436,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_sp_ART55_1|t__GCF_000210595,0,4.42098,0,0,12.53904,8.06377,0,0,0,0,0,0,0,0,0,0.34117,0,3.92342,0,0,0,0,0,0,0,0,0.26515,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22|t__GCF_000162155,0,0.84959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum|t__GCF_000210015,0,0.58267,0,0,0,0,0.6382,0,0,0,0,0.82962,0,0,0,0,0,0.31967,0,0,0,0.593,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis|t__GCF_000226135,0.00069,0.26945,0,2.17673,0.40281,0.10515,0,0,0.00102,0.03984,0,0.27721,0.07308,0.03609,0,0,2.23722,0,0.00596,0.18434,0,0,0,0.4034,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger|t__GCF_000156375,0,0.06111,0,0.35398,0,0,0,0,0,0,0,0.05309,0,0,0,0.03152,0.06089,0,0,0,0,0,0,0,0,0,0,0.08202
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella|s__Mitsuokella_multacida|t__GCF_000155955,0,0.04607,0,0,0,0,0,0.82265,0,0,0,0,0,0.04957,0.03734,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei|t__GCF_000225705,0,0.03181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3764,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_cylindroides|t__GCF_000469305,0,0.02024,0,0,0,0.00459,0,0,0,0,0,0,0.08099,0,0.1371,0,0,0,0.00664,0,0,0,0,0,0,0,0,0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae|t__GCA_000146045,0,0.01879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_curvatus|t__GCF_000235705,0,0.01418,0,0,0,0,0,0,0.00054,0.04598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae|t__Bacteroides_salyersiae_unclassified,0.0462,0.0141,0,1.54238,0,0,0,0,0.44535,0,0,0,0.27028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae|t__Streptococcus_mitis_oralis_pneumoniae_unclassified,0.02836,0.01335,0.02131,0,0,0,0.00375,0,0,0.0705,0,0.06864,0.00869,0.02445,0,0,0.02517,0.02519,0.00177,0,0,0.01267,0.00132,0.00151,0.00455,0,0.00669,0.00598
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta|t__GCF_000024265,0.1193,0.00458,0.02954,0,0.00055,0,0.00061,0,0.00064,0,0,0.0309,0.0909,0,0,0.00589,0.04325,0.00155,0.00318,0.03967,0,0.00137,0.05033,0.01012,0.03023,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_versmoldensis|t__GCF_000260455,0,0.00399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_sanguinis|t__GCF_000204335,0.00841,0.00292,0.00074,0,0,0.01861,0,0,0.00271,0.02774,0,0.02151,0.00689,0.02273,0,0,0,0.00373,0.00328,0.0329,0,0.00246,0,0,0.00348,0,0.00686,6.00E-04
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_brachy|t__GCF_000488855,5.00E-04,0.00267,0.00229,0,0,0,0,0,0,0.01723,0,0,0.00685,0.00651,0.00489,0,0,0,0,0.00129,0,0,0,0.00112,0.00102,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_intermedius|t__Streptococcus_intermedius_unclassified,0,0.00217,0.0118,0,0,0,0,0,0,0.00606,0,0.01039,0.00777,0.00126,0,0,0,0,0,0,0,0,0,0,0.00323,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens|t__Ruminococcus_flavefaciens_unclassified,0,0.00207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037,0,0,0,0,0,0,0.00073,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii|t__GCF_000285995,0,0.0019,0.00538,0,0,0,0,0,0,0,0,0,0.00069,0,0,0.00101,0,0,0,0,0,0,0,0.00041,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula|t__Veillonella_parvula_unclassified,0,0.00098,0,0,0.04519,0.07385,0.01706,0.01889,0.00192,1.14224,0,0.01471,0.03895,0.01474,0.00968,0,0.00492,0.01532,0.00723,0.01784,0.00859,0,0,0,0,0.0035,0.02378,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_sanfranciscensis|t__GCF_000225325,0,0.00077,0,0.00336,0,0,0,0,0,0,0,0,0,2.00E-04,0,0.02632,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii|t__Actinomyces_johnsonii_unclassified,0,0.00044,0.00314,0,0,0,0,0,0,0,0,0,0,0,0.00436,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales,1.43175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,0,0,0,0,0,0.14631,0.00426,0.05968,0,1.72127,0,0.0912,0.0109,0.08415,0.00315,0,0,0.38276,0.05438,0,0,0.00581,0,0,0,0,0.12698,0.00194
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae,2.87714,0,0,0,0,3.49365,0,0,0,0,0,0,0.70332,0.78387,0.26875,0,0,0,0,0,0,0,0,1.48697,3.87484,0,3.80599,2.45632
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae,1.43175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae,0.02454,0,0,0,0.01473,0.02846,0.01698,0.04429,0.0238,0.16064,0,0.03155,0.04394,0.01405,0,0,0.01748,0.03681,0,0,0.00644,0.00033,0.00645,0,0.0016,0.00047,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,0,0,0,0,0,0.14631,0.00426,0.05968,0,1.72127,0,0.0912,0.0109,0.08415,0.00315,0,0,0.38276,0.05438,0,0,0.00581,0,0,0,0,0.12698,0.00194
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas,0,0,0,9.91023,0,0,0,0,0,0,0,0,0.08242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus,2.61145,0,0,0,0,0,0,0,0,0,0,0,0.70332,0.20477,0.22447,0,0,0,0,0,0,0,0,0.41794,3.87484,0,0.13595,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium,0,0,0,0,0,2.38716,0,0,0,0,0,0,0,0,1.91103,0,0,0,0,0,0,0,0,0,0,0,0,2.78188
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71426,0,0,0.00167,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas,1.43175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia,0.02454,0,0,0,0.01473,0.02846,0.01698,0.04429,0.0238,0.16064,0,0.03155,0.04394,0.01405,0,0,0.01748,0.03681,0,0,0.00644,0.00033,0.00645,0,0.0016,0.00047,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,0,0,0,0,0,0.14631,0.00426,0.05968,0,1.71058,0,0.08911,0.0109,0.08415,0.00315,0,0,0.38018,0.05438,0,0,0.00581,0,0,0,0,0.12698,0.00194
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname,0,0,0.03596,0.04197,0,0,0,0,0.00643,0,0,0,0.12131,0,0,0.02282,0,0,0.00798,0.00093,0,0,0.03706,0,0.0535,0.02192,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia,0,0,0,0,0,0,0,0,0.08471,0,0,0.00335,0,0,0,0,0,0,0,0.00059,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter,0,0,0,0,0,0,0.08636,0,0,0,0,0,0,0,0,0,0,0.00428,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia,0,0,0,0,0,0,0,0,0,0,0,0.00057,0,0,0,0,0,0,0,0.3476,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_unclassified,0,0,0,9.16083,0,0,0,0,0,0,0,0,0.05799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_hypermegale,0,0,0,0,0,0,0,0,0,0,0,0,0.00348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_4_3_47FAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_unclassified,2.61145,0,0,0,0,0,0,0,0,0,0,0,0.70332,0.17127,0.03094,0,0,0,0,0,0,0,0,0.41794,3.83659,0,0.13535,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius,9.82134,0,0,0,1.49901,0,0,2.33697,0,0.30949,0,0,0.32188,0,0.08685,0,0,0,0,0,0,0,0,0,0,0,0,5.20862
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,0,0,0,0,0,0,4.76349,0,0,0,0,0,8.00E-05,8.00126,0,0,0,0,0,0,0,0,0,2.57008,0,0,1.18913,7.64678
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai,0,0,0,0,0,2.38716,0,0,0,0,0,0,0,0,1.91103,0,0,0,0,0,0,0,0,0,0,0,0,2.78188
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,0.15343,0,0.00011,0.00155,2.86781,0.00256,0,0.16626,2.41051,0.05118,0,2.40647,8.12259,1.42067,0,0.38248,0,1.27331,1.41222,0.59046,0,0,0.05243,1.39755,0,0,0.11257,1.15155
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_biforme,0,0,0,0,0,0.51279,0,0,0,1.16714,0,0,0,1.00144,0.01463,0,0,0,0,0,0,5.08645,0,0.0938,0,0,1.52415,2.90207
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides,0,0,0.00041,0,0.00494,0,0,0,0,0,0,0,0,0,0.00029,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_necrophorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_anaerobius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas_hippei,1.43175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis,0,0,0.02254,0,0.1008,0.00282,0,0,0,0.06067,0,0.00858,0.00068,0,0.0052,0,0,0,0,0,0,0,0.00021,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_nigrescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,0.02063,0,0,0,0.00858,0.02591,0.01698,0.04429,0.0238,0.14122,0,0.01688,0.00421,0.01147,0,0,0.01603,0.03637,0,0,0,0.00033,0.00314,0,0,0.00047,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_rupellensis,0,0,0,0.7494,0,0,0,0,0,0,0,0,0.02095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,0,0,0,0,0,0,0,0,0.00587,0.00312,0,0,0,0,0,0,0.07186,0,0,0,0.27081,0.07473,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae,0.01315,0,0.04069,0.01797,0,0,0,0,0.02238,0,0,0.01542,0.04543,0,0,0.00056,0.02466,0,0,0.03609,0.01135,0.00268,0.00051,0.00693,0.06966,0.01923,0.01035,0.03576
