sample,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ03H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ16H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ17H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ18H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ21H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ24H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ34H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ37H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ45H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ46H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ57H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ60H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ63H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ65H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ67H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ68H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ69H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ73H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ74H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ75H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ77H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ78H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ79H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ80H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ81H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ82H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ83H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ84H_17
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,0.06463,0,0,0,0.20956,0,2.79016,0.15788,1.32522,0.00128,0.93072,0,0,0,0,2.21418,1.29842,0.34789,0.14374,2.99499,0.11991,0.18584,0,0,0,1.23113,0.00273,0.95426
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,0.1939,0.22972,1.66527,0.41745,0.07249,0.06315,0.27691,0.15618,0.12035,0.04809,0.17975,0.14877,0,0,0.38282,0.0958,0.60383,0,0.15112,0.34263,0.23016,0.33775,0.44814,0.16537,0.84386,0,0.08666,0.38972
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,1.00135,0.07401,0.0598,0.81135,0.01806,0.27708,0.0046,0.2154,0.57806,0.41781,0.14084,0.05754,0.04151,0.27626,0.00533,0.00965,2.07718,0,0.55383,1.07825,2.80257,0.71426,0.05517,0.1576,0.00167,0.10027,0.6334,0.34396
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.43678,0.54538,3.96986,0.58654,2.26784,7.68979,0.7041,1.37628,1.01356,19.97666,0.10075,2.08281,12.39954,1.66735,1.25455,8.86942,0.57127,4.54946,0.4204,1.65214,0.49097,12.64865,0.38048,1.23567,1.06372,0.55279,5.03186,0.14658
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,0.09408,0.00559,0.05151,0.00563,0.02713,0.04624,0.01698,0.08081,0.06319,0.18764,0.04056,0.06685,0.09063,0.07044,0.01562,0.02509,0.1177,0.09432,0.041,0.01991,0.02929,0.03955,0.04142,0.01657,0.02149,0.03857,0.00602,0.01628
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,0.07743,0.04627,0.46539,0.06654,0,2.90455,0.07861,0.00714,0.02063,1.16877,0.02887,0.0671,0.58836,1.00652,2.09467,0.13757,0.81497,0.01144,0.13316,0.24864,0.42767,5.09675,5.24904,0.12777,0.10081,0.08973,1.52487,5.69842
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,2.87966,0.21573,0.01143,11.49298,0.05265,4.21085,0.03519,3.68864,0.02552,5.70523,0.00477,0.11868,0.8411,0.93379,0.3802,0,0.02563,0.07077,2.22377,5.75792,0.06856,2.61767,0.00018,1.9305,5.86171,3.5116,4.0332,2.45632
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,0.47564,0.02219,0.39941,0.01891,0.59752,31.96027,0.10863,0.31833,0.55963,0.02946,0.00376,0.00465,1.18179,0.01777,0.61134,1.31132,0,0.59596,0,0.95264,0,0.01882,1.52005,0,0.20829,0,0.15768,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,10.50015,27.20528,1.46275,19.0058,26.17867,5.88557,41.4769,31.88756,19.6011,21.8554,29.56248,31.57838,3.88227,33.13855,22.64061,39.35718,29.56102,40.36993,39.92565,21.64027,15.26625,33.07086,34.91282,31.59717,12.31705,36.48019,22.0208,18.61034
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,16.3248,17.32638,29.1976,5.48486,2.44739,10.52132,0.85097,3.52166,18.48304,2.93003,20.46013,0.2004,8.50825,12.01375,12.64274,18.17654,1.9472,0.10617,9.4402,29.32463,3.09087,7.11933,19.03913,11.57869,55.29467,7.5148,0.75314,1.20501
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.09603,0.01146,2.98425,0.97781,0.00791,0,0.02415,0.03526,0.11934,2.46605,14.5866,5.49889,1.98072,0,0.05179,0.92855,0.17162,0.04904,0.02075,0.1149,0.41427,0.0063,4.75658,0.02737,0.96502,1.29407,2.1276,0.17002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,13.19122,23.86482,20.26692,14.49908,26.59148,12.15074,10.09872,27.31903,18.55611,12.49818,9.84169,14.81248,7.44556,11.78757,8.51982,5.34013,23.78026,15.15262,11.40756,8.9044,6.77943,13.69646,6.0477,12.9912,6.59704,14.10603,14.59622,21.35073
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,0.30039,10.29535,0.1745,10.63816,22.04542,12.35621,19.06463,7.07896,15.53663,1.98234,8.48397,8.30012,11.59376,22.27627,26.74266,5.58529,1.52907,19.62157,22.20702,4.3569,13.51248,2.79905,6.97028,24.92296,0.62235,8.4378,14.05047,9.75224
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0.36168,0.00418,0,0,0.59936,0,0,0,0.51425,0,4.93557,0,0,0.48853,3.98831,0,0,0.07462,0,0,0,0,0,0.21892,0,0,0.12449,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,14.64189,9.90226,17.50123,25.1209,12.70143,0.6703,16.09923,4.65032,12.29907,3.41628,3.69923,5.40668,41.19522,13.67381,4.24843,10.14361,34.07648,11.02599,9.22844,8.66782,19.89569,8.08071,4.37791,9.44697,8.34654,20.10888,3.59437,29.59022
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,0.1548,3.85686,4.61329,4.80737,2.06166,0.0142,5.11323,3.02821,3.71966,1.70721,2.70009,2.56659,4.3041,0.24311,0.29827,2.60403,0.15242,1.54306,0.91474,5.32074,12.91472,7.61917,7.79065,1.74379,2.08745,0.3747,0.40778,2.37802
