k__Bacteria|p__Firmicutes,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Bacteroidetes,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Verrucomicrobia,k__Bacteria|p__Proteobacteria,k__Viruses|p__Viruses_noname,Susciptability to SARS-CoV-2
62.44528,1.99952,25.06219,4.58645,1.72518,4.18002,0,Medium
48.41867,18.07778,20.99656,10.18554,2.22719,0.04211,0.05215,Very High
60.26716,0.41343,24.59869,0.36833,1.93486,7.8752,0.00658,Low
10.22683,0.06606,86.81911,0,0,2.87083,0.01716,Medium
63.81785,0.30908,35.78366,0.05133,0,0.03807,0,Very High
82.9887,3.90993,10.09698,0,2.91995,0.08444,0,Very High
83.79765,2.71602,12.15861,0,0,1.32772,0,Very High
79.49472,6.53415,12.71624,0,0.00308,1.25182,0,Medium
58.08322,23.35845,6.09981,12.0343,0.41929,0.00493,0,Very High
73.57601,7.54689,17.82603,0,0,0.7269,0,Medium
64.65388,12.2851,22.06005,0,0,0.98439,0.00978,Medium
72.92105,1.78481,16.7607,0,7.79216,0.70935,0.00558,Medium
56.64708,28.35128,5.97026,0,0,9.03138,0,Medium
61.11089,2.68962,34.65014,0,0.12507,1.39012,0.03417,Medium
31.29755,1.18882,61.03889,0,0,6.20447,0.12451,Medium
58.76455,22.70594,18.2857,0,0.00853,0.23528,0,Very High
81.11221,9.33535,9.27866,0,0.00582,0.20493,0.06302,Medium
48.26461,22.95301,3.28987,0,0,25.4267,0,Low
15.46979,1.18202,73.259,0,0,5.82887,4.26032,Medium
55.67346,25.03839,14.96693,0,3.95627,0.36495,0,Very High
11.07255,0.2253,84.026,0,0,4.66569,0.01045,Medium
40.76377,36.96069,18.99288,1.15264,1.4267,0.70332,0,Very High
61.5331,32.245,5.86732,0.02238,0,0.27118,0,Very High
66.70836,27.12299,5.47742,0,0,0.67121,0.02002,Very High
49.06557,4.39074,17.93988,11.81646,15.66777,1.0935,0.01873,Medium
77.54717,2.96403,17.5549,0,0.08058,1.85275,0,Medium
70.0075,8.18828,21.62009,0,0,0.18413,0,Very High
57.89332,11.2758,28.27775,0.01779,0,2.18667,0.34329,Medium
64.46905,5.75026,27.02011,0,0,2.52896,0.23162,Low
14.45853,0.97463,38.76017,0,0,45.74403,0,Medium
68.87705,2.65429,17.29737,0,10.57291,0.5927,0,Medium
11.39683,1.09996,79.44843,0.01385,5.51958,1.46411,1.05724,Low
49.13619,6.00431,35.66446,0,0.00175,9.16016,0,High
69.65296,11.23783,18.18145,0,0.1649,0.76286,0,Very High
71.30551,13.59813,11.84388,2.84063,0.07373,0.33033,0.0078,Very High
48.03728,2.93747,35.37491,3.40811,9.96494,0.27729,0,Very High
26.51278,0.21883,62.40009,0,1.16755,8.2864,1.40544,Medium
46.3038,9.5423,30.53648,0,11.72571,1.88053,0,Very High
80.70929,3.20022,8.26723,5.7526,0,2.05989,0,Low
49.43589,22.7516,27.59135,0.00224,0.08764,0.13129,0,Very High
53.82755,21.7006,23.83619,0,0,0.30127,0.3344,Very High
38.99095,0.8049,57.47852,0,0,2.17177,0,Medium
59.55398,6.32613,22.32364,0,0.88566,10.86865,0,High
79.15771,1.14465,19.26513,0.03388,0.03719,0.36145,0,Medium
62.27608,1.19861,7.25905,0,0.08169,29.09248,0.05399,Low
73.77346,9.14164,16.03121,0,0.74225,0.31145,0,Very High
29.03292,0.58068,64.9061,0,1.4019,3.80421,0.2595,High
28.7698,8.12705,60.5328,0,0.45236,2.11799,0,High
4.354,0.15577,95.08394,0,0.19384,0.21245,0,Medium
38.36488,48.53835,11.96083,0,0.00922,1.12671,0,Very High
63.95543,11.95588,22.63885,0,1.19575,0.25301,0,Very High
59.40039,33.49784,6.84177,0,0,0.26,0,Very High
21.15651,1.06437,70.72912,0,5.00779,2.04221,0,Medium
66.56636,10.66971,22.61781,0.01157,0,0.13455,0,Very High
