Sample,k__Bacteria,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Verrucomicrobia,k__Archaea|p__Euryarchaeota,k__Viruses|p__Viruses_noname,Country,Death rate by 100000,Case-Fatalety per 100 case,Susciptability to SARS-CoV-2
SchirmerM_2016.metaphlan_bugs_list.stool:G88743,100,14.99942,0.12666,68.47617,16.39775,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88744,100,14.46684,0.52372,54.05646,30.95297,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88745,100,18.1801,0.32352,51.72933,23.63594,6.1311,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88746,100,7.68116,0.10675,85.77503,6.43706,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88748,99.65177,33.93831,0.29935,57.75897,3.17858,4.47655,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88749,100,19.94746,0.46573,70.44326,9.14355,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88751,99.63049,3.42231,1.54435,72.81932,21.83089,0.00903,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88753,99.86125,42.82826,0.2847,41.69286,15.05543,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88755,99.3751,18.3509,0.67838,63.56786,16.69622,0.08175,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88757,100,21.93273,1.2093,69.71317,7.13922,0.00558,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88759,98.42524,36.41344,1.33565,55.45909,3.35822,1.85884,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88760,100,14.5044,0.38269,74.09284,11.02007,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88761,96.8553,12.57794,0.54672,61.94103,19.72853,2.04114,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88762,100,23.60573,0.34297,67.1079,6.71264,2.23076,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88763,99.01985,12.92094,1.02439,56.14961,28.92491,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88764,100,43.23556,0.02344,54.3904,2.35061,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88765,100,13.70151,0.69998,71.93843,13.66007,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88766,100,43.36275,0.62287,52.49651,3.51787,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88767,100,20.99227,0.18448,78.27513,0.54812,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88768,100,31.4494,0.27129,51.76043,12.67444,3.84443,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88769,99.49288,45.36899,3.45062,29.82912,20.77019,0.07395,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88770,99.71744,14.77027,0.25234,75.58085,8.37326,0.74073,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88771,100,30.59457,0.72393,57.02806,10.03552,1.61792,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88772,95.55336,9.60436,2.22835,72.54371,10.82255,0.35438,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88773,88.30122,17.94166,1.28429,54.96237,5.70616,8.40673,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88774,99.56674,2.24595,0.31148,64.43543,32.56257,0.01132,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88776,100,22.61422,0.33377,56.45966,20.4419,0.15045,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88778,96.09183,8.89205,0.08957,51.16227,31.11566,4.83227,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88779,96.17133,33.32635,0.27622,61.61779,0.95097,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88780,100,28.72137,0.92723,63.1511,7.2003,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88781,97.8957,21.91336,0.37162,69.85266,2.93829,2.81977,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88782,100,19.90735,0.22303,72.73015,7.13947,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88783,95.17841,13.83418,0.56639,54.55235,22.90498,3.32051,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88784,99.27264,7.38776,0.06423,77.85896,13.9617,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88785,93.7336,11.96721,0.20283,50.62628,27.34216,3.58598,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88786,99.87363,1.67503,0.14077,61.95798,36.09984,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88787,100,1.12701,0.46665,58.02451,40.38183,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88788,100,16.72899,0.22176,49.35298,33.69597,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88789,97.15157,11.84388,0.33033,71.30551,13.59813,0.07373,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88790,97.14733,3.59563,0.75679,75.68955,17.10536,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88791,99.72661,27.23884,0.405,65.53636,6.44758,0.09882,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88792,100,34.18654,0.1694,46.3464,19.29767,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88793,100,23.32815,0.25897,48.85194,23.76174,3.7992,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88794,100,35.099,0.13618,59.21308,5.55174,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88795,99.9263,33.13617,0.1415,64.5761,2.07252,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88796,92.0221,12.64599,0.30235,77.55305,1.32997,0.18913,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88797,89.23099,10.39752,0.52431,60.88658,16.33896,1.0775,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88798,100,19.57428,0.40599,70.2192,9.80053,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88801,92.19262,9.63936,0.45043,70.09195,4.64165,7.36521,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88802,96.83104,11.66504,0.15841,70.17849,14.78107,0.04802,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88804,100,19.50203,0.8673,72.8911,6.73536,0.00421,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88806,100,14.25858,0.46231,59.737,25.27231,0.2698,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88807,100,24.36317,0.16815,59.78014,15.65277,0.03578,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88808,98.25271,20.58635,0.211,49.45215,28.00321,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88809,100,17.45282,0.22364,68.33991,13.77147,0.21215,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88810,99.09106,18.91162,1.83958,58.77888,19.51689,0.03677,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88811,99.99542,23.87085,1.52065,50.95672,10.75686,12.89033,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88812,92.87794,11.71012,0.76202,67.02311,10.34806,3.03111,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88813,98.87972,18.00481,0.15654,63.95929,16.29602,0.46306,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88814,100,49.72462,1.21001,34.20349,9.7651,5.09679,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88815,94.70377,8.24924,0.18619,42.19372,43.97523,0.0994,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88816,99.99957,21.45071,0.20626,63.81314,14.52947,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88818,100,27.94709,0.33754,64.05606,7.65931,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88819,100,20.01494,0.42522,57.47868,22.08115,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88820,99.21501,9.66043,1.1323,79.79752,8.61864,0.00612,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88821,99.99774,4.67358,0.29273,72.51944,22.51198,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88822,99.97998,5.47742,0.67121,66.70836,27.12299,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88823,99.95262,14.52223,0.74813,75.48919,9.19307,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88825,99.14428,11.17036,0.10092,72.95017,14.86351,0.05933,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88826,97.06081,21.25822,1.01721,65.30461,4.5337,4.94707,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88827,98.79858,15.71814,0.61384,77.26575,4.78643,0.41442,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88828,96.59189,35.37491,0.27729,48.03728,2.93747,9.96494,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88829,95.86352,16.52389,0.72845,63.11905,13.39838,2.09376,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88830,100,6.33746,0.13923,73.94178,19.58152,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88831,100,13.93401,0.17993,54.49174,30.02615,1.36817,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88832,100,18.2857,0.23528,58.76455,22.70594,0.00853,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88834,99.12861,31.57873,1.05755,46.35307,16.48117,3.65809,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88835,97.20321,14.74484,0.30951,58.93576,23.2131,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88836,99.91213,26.32263,0.54365,67.81016,5.23226,0.00343,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88837,98.65888,17.27609,1.4548,69.12243,5.54053,5.26503,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88838,100,30.21106,0.38334,60.89376,8.51183,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88839,99.93799,20.63,1.37266,46.46951,31.46582,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88840,99.30837,29.04114,0.58563,58.59434,9.33661,1.75065,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88842,100,28.07806,1.04697,64.06859,5.91585,0.89054,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88843,100,19.68561,0.64464,65.76634,12.57335,1.33006,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88844,100,10.46369,0.1981,53.27167,36.06654,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88845,100,43.00043,0.23432,51.29401,1.72197,3.74926,0,0,Netherlands,35.46214824,12.07654258,Very High
